Node Number	X Location (m)	Y Location (m)	Z Location (m)	Directional Deformation (m)
1	0.	-0.05	0.	-0.0000e+00
2	0.	-0.05	0.025	-0.0000e+00
3	0.	-0.05	0.05	-0.0000e+00
4	0.	-0.05	0.075	-0.0000e+00
5	0.	-0.05	0.1	-0.0000e+00
6	0.	-0.025	0.	-0.0000e+00
7	0.	-0.025	0.025	-0.0000e+00
8	0.	-0.025	0.05	-0.0000e+00
9	0.	-0.025	0.075	-0.0000e+00
10	0.	-0.025	0.1	-0.0000e+00
11	0.	0.	0.	-0.0000e+00
12	0.	0.	0.025	-0.0000e+00
13	0.	0.	0.05	-0.0000e+00
14	0.	0.	0.075	-0.0000e+00
15	0.	0.	0.1	-0.0000e+00
16	0.	0.025	0.	-0.0000e+00
17	0.	0.025	0.025	-0.0000e+00
18	0.	0.025	0.05	-0.0000e+00
19	0.	0.025	0.075	-0.0000e+00
20	0.	0.025	0.1	-0.0000e+00
21	0.	0.05	0.	-0.0000e+00
22	0.	0.05	0.025	-0.0000e+00
23	0.	0.05	0.05	-0.0000e+00
24	0.	0.05	0.075	-0.0000e+00
25	0.	0.05	0.1	-0.0000e+00
26	0.025	-0.05	0.	-5.5950e-06
27	0.025	-0.05	0.025	-5.6071e-06
28	0.025	-0.05	0.05	-5.5649e-06
29	0.025	-0.05	0.075	-5.6158e-06
30	0.025	-0.05	0.1	-5.5462e-06
31	0.025	-0.025	0.	-5.5913e-06
32	0.025	-0.025	0.025	-5.5583e-06
33	0.025	-0.025	0.05	-5.5638e-06
34	0.025	-0.025	0.075	-5.5795e-06
35	0.025	-0.025	0.1	-5.5692e-06
36	0.025	0.	0.	-5.5142e-06
37	0.025	0.	0.025	-5.5918e-06
38	0.025	0.	0.05	-5.5955e-06
39	0.025	0.	0.075	-5.5745e-06
40	0.025	0.	0.1	-5.5728e-06
41	0.025	0.025	0.	-5.5698e-06
42	0.025	0.025	0.025	-5.5399e-06
43	0.025	0.025	0.05	-5.5376e-06
44	0.025	0.025	0.075	-5.5961e-06
45	0.025	0.025	0.1	-5.6019e-06
46	0.025	0.05	0.	-5.5914e-06
47	0.025	0.05	0.025	-5.5866e-06
48	0.025	0.05	0.05	-5.5956e-06
49	0.025	0.05	0.075	-5.5941e-06
50	0.025	0.05	0.1	-5.5606e-06
51	0.05	-0.05	0.	-2.2145e-05
52	0.05	-0.05	0.025	-2.2099e-05
53	0.05	-0.05	0.05	-2.2100e-05
54	0.05	-0.05	0.075	-2.2226e-05
55	0.05	-0.05	0.1	-2.2264e-05
56	0.05	-0.025	0.	-2.1917e-05
57	0.05	-0.025	0.025	-2.2102e-05
58	0.05	-0.025	0.05	-2.2098e-05
59	0.05	-0.025	0.075	-2.2228e-05
60	0.05	-0.025	0.1	-2.1997e-05
61	0.05	0.	0.	-2.1860e-05
62	0.05	0.	0.025	-2.2198e-05
63	0.05	0.	0.05	-2.2210e-05
64	0.05	0.	0.075	-2.1967e-05
65	0.05	0.	0.1	-2.2114e-05
66	0.05	0.025	0.	-2.2260e-05
67	0.05	0.025	0.025	-2.2030e-05
68	0.05	0.025	0.05	-2.2134e-05
69	0.05	0.025	0.075	-2.2170e-05
70	0.05	0.025	0.1	-2.1999e-05
71	0.05	0.05	0.	-2.2075e-05
72	0.05	0.05	0.025	-2.1975e-05
73	0.05	0.05	0.05	-2.2110e-05
74	0.05	0.05	0.075	-2.2055e-05
75	0.05	0.05	0.1	-2.2143e-05
76	0.075	-0.05	0.	-4.9485e-05
77	0.075	-0.05	0.025	-4.9634e-05
78	0.075	-0.05	0.05	-4.9820e-05
79	0.075	-0.05	0.075	-4.9400e-05
80	0.075	-0.05	0.1	-4.9297e-05
81	0.075	-0.025	0.	-4.9285e-05
82	0.075	-0.025	0.025	-4.9169e-05
83	0.075	-0.025	0.05	-4.9448e-05
84	0.075	-0.025	0.075	-4.9262e-05
85	0.075	-0.025	0.1	-4.9462e-05
86	0.075	0.	0.	-4.9175e-05
87	0.075	0.	0.025	-4.9267e-05
88	0.075	0.	0.05	-4.9445e-05
89	0.075	0.	0.075	-4.9335e-05
90	0.075	0.	0.1	-4.8980e-05
91	0.075	0.025	0.	-4.9356e-05
92	0.075	0.025	0.025	-4.9201e-05
93	0.075	0.025	0.05	-4.9593e-05
94	0.075	0.025	0.075	-4.9551e-05
95	0.075	0.025	0.1	-4.8909e-05
96	0.075	0.05	0.	-4.9518e-05
97	0.075	0.05	0.025	-4.9436e-05
98	0.075	0.05	0.05	-4.9066e-05
99	0.075	0.05	0.075	-4.9533e-05
100	0.075	0.05	0.1	-4.9107e-05
101	0.1	-0.05	0.	-8.7399e-05
102	0.1	-0.05	0.025	-8.6775e-05
103	0.1	-0.05	0.05	-8.6472e-05
104	0.1	-0.05	0.075	-8.7738e-05
105	0.1	-0.05	0.1	-8.6462e-05
106	0.1	-0.025	0.	-8.6720e-05
107	0.1	-0.025	0.025	-8.6788e-05
108	0.1	-0.025	0.05	-8.6841e-05
109	0.1	-0.025	0.075	-8.7243e-05
110	0.1	-0.025	0.1	-8.7020e-05
111	0.1	0.	0.	-8.7349e-05
112	0.1	0.	0.025	-8.7129e-05
113	0.1	0.	0.05	-8.6418e-05
114	0.1	0.	0.075	-8.7191e-05
115	0.1	0.	0.1	-8.7081e-05
116	0.1	0.025	0.	-8.6783e-05
117	0.1	0.025	0.025	-8.7722e-05
118	0.1	0.025	0.05	-8.7212e-05
119	0.1	0.025	0.075	-8.7328e-05
120	0.1	0.025	0.1	-8.7340e-05
121	0.1	0.05	0.	-8.6854e-05
122	0.1	0.05	0.025	-8.7220e-05
123	0.1	0.05	0.05	-8.7110e-05
124	0.1	0.05	0.075	-8.6806e-05
125	0.1	0.05	0.1	-8.6575e-05
