Node Number	X Location (m)	Y Location (m)	Z Location (m)	Normal Stress (Pa)
1	0.	-0.05	0.	1.0807e+08
2	0.	-0.05	0.025	1.0706e+08
3	0.	-0.05	0.05	1.0722e+08
4	0.	-0.05	0.075	1.0693e+08
5	0.	-0.05	0.1	1.0878e+08
6	0.	-0.025	0.	1.9969e+08
7	0.	-0.025	0.025	1.9929e+08
8	0.	-0.025	0.05	1.9783e+08
9	0.	-0.025	0.075	1.9631e+08
10	0.	-0.025	0.1	1.9675e+08
11	0.	0.	0.	2.8629e+08
12	0.	0.	0.025	2.8792e+08
13	0.	0.	0.05	2.9040e+08
14	0.	0.	0.075	2.9039e+08
15	0.	0.	0.1	2.8716e+08
16	0.	0.025	0.	3.7293e+08
17	0.	0.025	0.025	3.7535e+08
18	0.	0.025	0.05	3.8070e+08
19	0.	0.025	0.075	3.7853e+08
20	0.	0.025	0.1	3.7719e+08
21	0.	0.05	0.	4.6681e+08
22	0.	0.05	0.025	4.6589e+08
23	0.	0.05	0.05	4.6462e+08
24	0.	0.05	0.075	4.7382e+08
25	0.	0.05	0.1	4.7283e+08
26	0.025	-0.05	0.	1.1195e+08
27	0.025	-0.05	0.025	1.1132e+08
28	0.025	-0.05	0.05	1.1261e+08
29	0.025	-0.05	0.075	1.1240e+08
30	0.025	-0.05	0.1	1.1292e+08
31	0.025	-0.025	0.	2.0128e+08
32	0.025	-0.025	0.025	1.9884e+08
33	0.025	-0.025	0.05	2.0179e+08
34	0.025	-0.025	0.075	1.9983e+08
35	0.025	-0.025	0.1	2.0098e+08
36	0.025	0.	0.	2.8755e+08
37	0.025	0.	0.025	2.8959e+08
38	0.025	0.	0.05	2.8392e+08
39	0.025	0.	0.075	2.8928e+08
40	0.025	0.	0.1	2.8656e+08
41	0.025	0.025	0.	3.7592e+08
42	0.025	0.025	0.025	3.7856e+08
43	0.025	0.025	0.05	3.7394e+08
44	0.025	0.025	0.075	3.7359e+08
45	0.025	0.025	0.1	3.7491e+08
46	0.025	0.05	0.	4.6229e+08
47	0.025	0.05	0.025	4.6058e+08
48	0.025	0.05	0.05	4.6380e+08
49	0.025	0.05	0.075	4.6394e+08
50	0.025	0.05	0.1	4.6479e+08
51	0.05	-0.05	0.	1.1642e+08
52	0.05	-0.05	0.025	1.1634e+08
53	0.05	-0.05	0.05	1.1692e+08
54	0.05	-0.05	0.075	1.1683e+08
55	0.05	-0.05	0.1	1.1684e+08
56	0.05	-0.025	0.	2.0164e+08
57	0.05	-0.025	0.025	2.0290e+08
58	0.05	-0.025	0.05	2.0135e+08
59	0.05	-0.025	0.075	2.0235e+08
60	0.05	-0.025	0.1	2.0213e+08
61	0.05	0.	0.	2.8794e+08
62	0.05	0.	0.025	2.9005e+08
63	0.05	0.	0.05	2.8573e+08
64	0.05	0.	0.075	2.8387e+08
65	0.05	0.	0.1	2.8697e+08
66	0.05	0.025	0.	3.7092e+08
67	0.05	0.025	0.025	3.6675e+08
68	0.05	0.025	0.05	3.7741e+08
69	0.05	0.025	0.075	3.7475e+08
70	0.05	0.025	0.1	3.7500e+08
71	0.05	0.05	0.	4.5821e+08
72	0.05	0.05	0.025	4.6016e+08
73	0.05	0.05	0.05	4.5784e+08
74	0.05	0.05	0.075	4.6124e+08
75	0.05	0.05	0.1	4.5952e+08
76	0.075	-0.05	0.	1.2147e+08
77	0.075	-0.05	0.025	1.2153e+08
78	0.075	-0.05	0.05	1.2257e+08
79	0.075	-0.05	0.075	1.2162e+08
80	0.075	-0.05	0.1	1.2075e+08
81	0.075	-0.025	0.	2.0516e+08
82	0.075	-0.025	0.025	2.0535e+08
83	0.075	-0.025	0.05	2.0457e+08
84	0.075	-0.025	0.075	2.0469e+08
85	0.075	-0.025	0.1	2.0344e+08
86	0.075	0.	0.	2.8817e+08
87	0.075	0.	0.025	2.8590e+08
88	0.075	0.	0.05	2.8757e+08
89	0.075	0.	0.075	2.8684e+08
90	0.075	0.	0.1	2.8970e+08
91	0.075	0.025	0.	3.7470e+08
92	0.075	0.025	0.025	3.6870e+08
93	0.075	0.025	0.05	3.7124e+08
94	0.075	0.025	0.075	3.7056e+08
95	0.075	0.025	0.1	3.7228e+08
96	0.075	0.05	0.	4.5476e+08
97	0.075	0.05	0.025	4.5344e+08
98	0.075	0.05	0.05	4.5476e+08
99	0.075	0.05	0.075	4.5391e+08
100	0.075	0.05	0.1	4.5883e+08
101	0.1	-0.05	0.	1.2540e+08
102	0.1	-0.05	0.025	1.2619e+08
103	0.1	-0.05	0.05	1.2639e+08
104	0.1	-0.05	0.075	1.2633e+08
105	0.1	-0.05	0.1	1.2577e+08
106	0.1	-0.025	0.	2.0870e+08
107	0.1	-0.025	0.025	2.0441e+08
108	0.1	-0.025	0.05	2.0564e+08
109	0.1	-0.025	0.075	2.0782e+08
110	0.1	-0.025	0.1	2.0591e+08
111	0.1	0.	0.	2.8638e+08
