Node Number	X Location (m)	Y Location (m)	Z Location (m)	Normal Stress (Pa)
1	0.	-0.05	0.	2.2990e+08
2	0.	-0.05	0.025	2.2861e+08
3	0.	-0.05	0.05	2.2785e+08
4	0.	-0.05	0.075	2.2885e+08
5	0.	-0.05	0.1	2.2810e+08
6	0.	-0.025	0.	2.5771e+08
7	0.	-0.025	0.025	2.5852e+08
8	0.	-0.025	0.05	2.5732e+08
9	0.	-0.025	0.075	2.5839e+08
10	0.	-0.025	0.1	2.5832e+08
11	0.	0.	0.	2.8904e+08
12	0.	0.	0.025	2.8693e+08
13	0.	0.	0.05	2.8923e+08
14	0.	0.	0.075	2.8643e+08
15	0.	0.	0.1	2.8701e+08
16	0.	0.025	0.	3.1699e+08
17	0.	0.025	0.025	3.1595e+08
18	0.	0.025	0.05	3.1994e+08
19	0.	0.025	0.075	3.1615e+08
20	0.	0.025	0.1	3.1667e+08
21	0.	0.05	0.	3.5062e+08
22	0.	0.05	0.025	3.4681e+08
23	0.	0.05	0.05	3.4761e+08
24	0.	0.05	0.075	3.4589e+08
25	0.	0.05	0.1	3.4974e+08
26	0.025	-0.05	0.	2.3067e+08
27	0.025	-0.05	0.025	2.3052e+08
28	0.025	-0.05	0.05	2.3024e+08
29	0.025	-0.05	0.075	2.2960e+08
30	0.025	-0.05	0.1	2.2878e+08
31	0.025	-0.025	0.	2.5748e+08
32	0.025	-0.025	0.025	2.6075e+08
33	0.025	-0.025	0.05	2.5994e+08
34	0.025	-0.025	0.075	2.5767e+08
35	0.025	-0.025	0.1	2.5881e+08
36	0.025	0.	0.	2.8748e+08
37	0.025	0.	0.025	2.8605e+08
38	0.025	0.	0.05	2.8831e+08
39	0.025	0.	0.075	2.8728e+08
40	0.025	0.	0.1	2.8635e+08
41	0.025	0.025	0.	3.1443e+08
42	0.025	0.025	0.025	3.1427e+08
43	0.025	0.025	0.05	3.1654e+08
44	0.025	0.025	0.075	3.1709e+08
45	0.025	0.025	0.1	3.1558e+08
46	0.025	0.05	0.	3.4785e+08
47	0.025	0.05	0.025	3.4636e+08
48	0.025	0.05	0.05	3.4770e+08
