Node Number	X Location (m)	Y Location (m)	Z Location (m)	Normal Stress (Pa)
1	0.	-0.05	0.	-9.6023e+07
2	0.	-0.05	0.025	-9.6415e+07
3	0.	-0.05	0.05	-9.6409e+07
4	0.	-0.05	0.075	-9.5627e+07
5	0.	-0.05	0.1	-9.5650e+07
6	0.	-0.025	0.	2.3934e+07
7	0.	-0.025	0.025	2.4245e+07
8	0.	-0.025	0.05	2.3859e+07
9	0.	-0.025	0.075	2.3953e+07
10	0.	-0.025	0.1	2.4112e+07
11	0.	0.	0.	1.4306e+08
12	0.	0.	0.025	1.4422e+08
13	0.	0.	0.05	1.4236e+08
14	0.	0.	0.075	1.4417e+08
15	0.	0.	0.1	1.4405e+08
16	0.	0.025	0.	2.6426e+08
17	0.	0.025	0.025	2.6262e+08
18	0.	0.025	0.05	2.6436e+08
19	0.	0.025	0.075	2.6394e+08
20	0.	0.025	0.1	2.6606e+08
21	0.	0.05	0.	3.8547e+08
22	0.	0.05	0.025	3.8066e+08
23	0.	0.05	0.05	3.8208e+08
24	0.	0.05	0.075	3.8258e+08
25	0.	0.05	0.1	3.8442e+08
26	0.025	-0.05	0.	-8.9909e+07
27	0.025	-0.05	0.025	-8.9906e+07
28	0.025	-0.05	0.05	-9.1522e+07
29	0.025	-0.05	0.075	-8.9723e+07
30	0.025	-0.05	0.1	-9.0751e+07
31	0.025	-0.025	0.	2.6976e+07
32	0.025	-0.025	0.025	2.6647e+07
33	0.025	-0.025	0.05	2.7031e+07
34	0.025	-0.025	0.075	2.7181e+07
35	0.025	-0.025	0.1	2.7103e+07
36	0.025	0.	0.	1.4422e+08
37	0.025	0.	0.025	1.4402e+08
38	0.025	0.	0.05	1.4357e+08
39	0.025	0.	0.075	1.4477e+08
40	0.025	0.	0.1	1.4362e+08
41	0.025	0.025	0.	2.6000e+08
42	0.025	0.025	0.025	2.6164e+08
43	0.025	0.025	0.05	2.6053e+08
44	0.025	0.025	0.075	2.6301e+08
45	0.025	0.025	0.1	2.6173e+08
46	0.025	0.05	0.	3.7624e+08
47	0.025	0.05	0.025	3.7540e+08
48	0.025	0.05	0.05	3.7670e+08
49	0.025	0.05	0.075	3.8330e+08
50	0.025	0.05	0.1	3.7746e+08
51	0.05	-0.05	0.	-8.4382e+07
52	0.05	-0.05	0.025	-8.3342e+07
53	0.05	-0.05	0.05	-8.3454e+07
54	0.05	-0.05	0.075	-8.3905e+07
55	0.05	-0.05	0.1	-8.4857e+07
56	0.05	-0.025	0.	2.9768e+07
57	0.05	-0.025	0.025	2.9887e+07
58	0.05	-0.025	0.05	3.0162e+07
59	0.05	-0.025	0.075	3.0287e+07
60	0.05	-0.025	0.1	3.0079e+07
61	0.05	0.	0.	1.4458e+08
62	0.05	0.	0.025	1.4323e+08
63	0.05	0.	0.05	1.4286e+08
64	0.05	0.	0.075	1.4301e+08
65	0.05	0.	0.1	1.4325e+08
66	0.05	0.025	0.	2.5835e+08
67	0.05	0.025	0.025	2.5611e+08
68	0.05	0.025	0.05	2.5839e+08
69	0.05	0.025	0.075	2.5751e+08
70	0.05	0.025	0.1	2.5713e+08
71	0.05	0.05	0.	3.7398e+08
72	0.05	0.05	0.025	3.6986e+08
73	0.05	0.05	0.05	3.7520e+08
74	0.05	0.05	0.075	3.7385e+08
75	0.05	0.05	0.1	3.6979e+08
76	0.075	-0.05	0.	-7.8563e+07
77	0.075	-0.05	0.025	-7.7481e+07
78	0.075	-0.05	0.05	-7.8605e+07
79	0.075	-0.05	0.075	-7.8156e+07
80	0.075	-0.05	0.1	-7.7261e+07
81	0.075	-0.025	0.	3.2744e+07
82	0.075	-0.025	0.025	3.2920e+07
83	0.075	-0.025	0.05	3.3172e+07
84	0.075	-0.025	0.075	3.2966e+07
85	0.075	-0.025	0.1	3.2961e+07
86	0.075	0.	0.	1.4403e+08
87	0.075	0.	0.025	1.4228e+08
88	0.075	0.	0.05	1.4471e+08
89	0.075	0.	0.075	1.4516e+08
90	0.075	0.	0.1	1.4468e+08
91	0.075	0.025	0.	2.5435e+08
92	0.075	0.025	0.025	2.5365e+08
93	0.075	0.025	0.05	2.5334e+08
94	0.075	0.025	0.075	2.5327e+08
95	0.075	0.025	0.1	2.5846e+08
96	0.075	0.05	0.	3.6583e+08
97	0.075	0.05	0.025	3.6799e+08
98	0.075	0.05	0.05	3.6787e+08
99	0.075	0.05	0.075	3.6631e+08
100	0.075	0.05	0.1	3.6395e+08
101	0.1	-0.05	0.	-7.2224e+07
102	0.1	-0.05	0.025	-7.1532e+07
103	0.1	-0.05	0.05	-7.2260e+07
104	0.1	-0.05	0.075	-7.1552e+07
105	0.1	-0.05	0.1	-7.1812e+07
106	0.1	-0.025	0.	3.5905e+07
107	0.1	-0.025	0.025	3.6302e+07
108	0.1	-0.025	0.05	3.5474e+07
109	0.1	-0.025	0.075	3.6503e+07
110	0.1	-0.025	0.1	3.5826e+07
111	0.1	0.	0.	1.4389e+08
112	0.1	0.	0.025	1.4436e+08
113	0.1	0.	0.05	1.4428e+08
114	0.1	0.	0.075	1.4473e+08
115	0.1	0.	0.1	1.4453e+08
116	0.1	0.025	0.	2.5508e+08
117	0.1	0.025	0.025	2.5311e+08
118	0.1	0.025	0.05	2.5182e+08
119	0.1	0.025	0.075	2.5116e+08
120	0.1	0.025	0.1	2.5112e+08
121	0.1	0.05	0.	3.6279e+08
122	0.1	0.05	0.025	3.6379e+08
123	0.1	0.05	0.05	3.6217e+08
124	0.1	0.05	0.075	3.5316e+08
125	0.1	0.05	0.1	3.5515e+08
126	0.125	-0.05	0.	-6.5997e+07
