Node Number	X Location (m)	Y Location (m)	Z Location (m)	Equivalent (von-Mises) Stress (Pa)
1	0.	-0.05	0.	2.5160e+08
2	0.	-0.05	0.025	2.5272e+08
3	0.	-0.05	0.05	2.5135e+08
4	0.	-0.05	0.075	2.5117e+08
5	0.	-0.05	0.1	2.5023e+08
6	0.	-0.025	0.	3.4232e+08
7	0.	-0.025	0.025	3.4064e+08
8	0.	-0.025	0.05	3.4554e+08
9	0.	-0.025	0.075	3.4176e+08
10	0.	-0.025	0.1	3.4193e+08
11	0.	0.	0.	4.3145e+08
12	0.	0.	0.025	4.3335e+08
13	0.	0.	0.05	4.3722e+08
14	0.	0.	0.075	4.2848e+08
15	0.	0.	0.1	4.3303e+08
16	0.	0.025	0.	5.1548e+08
17	0.	0.025	0.025	5.2714e+08
18	0.	0.025	0.05	5.2158e+08
19	0.	0.025	0.075	5.1579e+08
20	0.	0.025	0.1	5.1670e+08
21	0.	0.05	0.	6.1598e+08
22	0.	0.05	0.025	6.0385e+08
23	0.	0.05	0.05	6.1336e+08
24	0.	0.05	0.075	6.0990e+08
25	0.	0.05	0.1	6.1105e+08
26	0.025	-0.05	0.	2.5512e+08
27	0.025	-0.05	0.025	2.5454e+08
28	0.025	-0.05	0.05	2.5550e+08
29	0.025	-0.05	0.075	2.5767e+08
30	0.025	-0.05	0.1	2.5590e+08
31	0.025	-0.025	0.	3.4546e+08
32	0.025	-0.025	0.025	3.4363e+08
33	0.025	-0.025	0.05	3.4598e+08
34	0.025	-0.025	0.075	3.4544e+08
35	0.025	-0.025	0.1	3.4281e+08
36	0.025	0.	0.	4.2877e+08
37	0.025	0.	0.025	4.3537e+08
38	0.025	0.	0.05	4.2926e+08
39	0.025	0.	0.075	4.3380e+08
40	0.025	0.	0.1	4.3218e+08
41	0.025	0.025	0.	5.1786e+08
42	0.025	0.025	0.025	5.2157e+08
43	0.025	0.025	0.05	5.2547e+08
44	0.025	0.025	0.075	5.2238e+08
45	0.025	0.025	0.1	5.2032e+08
46	0.025	0.05	0.	6.1538e+08
47	0.025	0.05	0.025	5.9936e+08
48	0.025	0.05	0.05	6.0209e+08
