Node Number	X Location (m)	Y Location (m)	Z Location (m)	Directional Deformation (m)
1	0.	-0.05	0.	-0.0000e+00
2	0.	-0.05	0.025	-0.0000e+00
3	0.	-0.05	0.05	-0.0000e+00
4	0.	-0.05	0.075	-0.0000e+00
5	0.	-0.05	0.1	-0.0000e+00
6	0.	-0.025	0.	-0.0000e+00
7	0.	-0.025	0.025	-0.0000e+00
8	0.	-0.025	0.05	-0.0000e+00
9	0.	-0.025	0.075	-0.0000e+00
10	0.	-0.025	0.1	-0.0000e+00
11	0.	0.	0.	-0.0000e+00
12	0.	0.	0.025	-0.0000e+00
13	0.	0.	0.05	-0.0000e+00
14	0.	0.	0.075	-0.0000e+00
15	0.	0.	0.1	-0.0000e+00
16	0.	0.025	0.	-0.0000e+00
17	0.	0.025	0.025	-0.0000e+00
18	0.	0.025	0.05	-0.0000e+00
19	0.	0.025	0.075	-0.0000e+00
20	0.	0.025	0.1	-0.0000e+00
21	0.	0.05	0.	-0.0000e+00
22	0.	0.05	0.025	-0.0000e+00
23	0.	0.05	0.05	-0.0000e+00
24	0.	0.05	0.075	-0.0000e+00
25	0.	0.05	0.1	-0.0000e+00
26	0.025	-0.05	0.	-7.4319e-06
27	0.025	-0.05	0.025	-7.4068e-06
28	0.025	-0.05	0.05	-7.4415e-06
29	0.025	-0.05	0.075	-7.4578e-06
30	0.025	-0.05	0.1	-7.4310e-06
31	0.025	-0.025	0.	-7.4107e-06
32	0.025	-0.025	0.025	-7.4445e-06
33	0.025	-0.025	0.05	-7.5102e-06
34	0.025	-0.025	0.075	-7.3729e-06
35	0.025	-0.025	0.1	-7.4444e-06
36	0.025	0.	0.	-7.4213e-06
37	0.025	0.	0.025	-7.4248e-06
38	0.025	0.	0.05	-7.4344e-06
39	0.025	0.	0.075	-7.4273e-06
40	0.025	0.	0.1	-7.4554e-06
41	0.025	0.025	0.	-7.4303e-06
42	0.025	0.025	0.025	-7.3732e-06
43	0.025	0.025	0.05	-7.4756e-06
44	0.025	0.025	0.075	-7.4711e-06
45	0.025	0.025	0.1	-7.4194e-06
46	0.025	0.05	0.	-7.4390e-06
47	0.025	0.05	0.025	-7.4737e-06
48	0.025	0.05	0.05	-7.4682e-06
49	0.025	0.05	0.075	-7.4779e-06
50	0.025	0.05	0.1	-7.4486e-06
51	0.05	-0.05	0.	-2.9591e-05
52	0.05	-0.05	0.025	-2.9666e-05
53	0.05	-0.05	0.05	-2.9459e-05
54	0.05	-0.05	0.075	-2.9552e-05
55	0.05	-0.05	0.1	-2.9247e-05
56	0.05	-0.025	0.	-2.9314e-05
57	0.05	-0.025	0.025	-2.9559e-05
58	0.05	-0.025	0.05	-2.9577e-05
59	0.05	-0.025	0.075	-2.9454e-05
60	0.05	-0.025	0.1	-2.9428e-05
61	0.05	0.	0.	-2.9458e-05
62	0.05	0.	0.025	-2.9523e-05
63	0.05	0.	0.05	-2.9227e-05
64	0.05	0.	0.075	-2.9555e-05
65	0.05	0.	0.1	-2.9504e-05
66	0.05	0.025	0.	-2.9529e-05
67	0.05	0.025	0.025	-2.9485e-05
68	0.05	0.025	0.05	-2.9337e-05
69	0.05	0.025	0.075	-2.9370e-05
70	0.05	0.025	0.1	-2.9680e-05
71	0.05	0.05	0.	-2.9424e-05
72	0.05	0.05	0.025	-2.9595e-05
73	0.05	0.05	0.05	-2.9372e-05
74	0.05	0.05	0.075	-2.9498e-05
75	0.05	0.05	0.1	-2.9448e-05
76	0.075	-0.05	0.	-6.5737e-05
77	0.075	-0.05	0.025	-6.5723e-05
78	0.075	-0.05	0.05	-6.6193e-05
79	0.075	-0.05	0.075	-6.6320e-05
80	0.075	-0.05	0.1	-6.5875e-05
81	0.075	-0.025	0.	-6.5704e-05
82	0.075	-0.025	0.025	-6.5463e-05
83	0.075	-0.025	0.05	-6.5444e-05
84	0.075	-0.025	0.075	-6.6194e-05
85	0.075	-0.025	0.1	-6.5426e-05
86	0.075	0.	0.	-6.5697e-05
87	0.075	0.	0.025	-6.5853e-05
88	0.075	0.	0.05	-6.5128e-05
89	0.075	0.	0.075	-6.5483e-05
90	0.075	0.	0.1	-6.5460e-05
91	0.075	0.025	0.	-6.5637e-05
92	0.075	0.025	0.025	-6.5881e-05
93	0.075	0.025	0.05	-6.6083e-05
94	0.075	0.025	0.075	-6.5638e-05
95	0.075	0.025	0.1	-6.5691e-05
96	0.075	0.05	0.	-6.5781e-05
97	0.075	0.05	0.025	-6.5600e-05
98	0.075	0.05	0.05	-6.5922e-05
99	0.075	0.05	0.075	-6.5931e-05
100	0.075	0.05	0.1	-6.5096e-05
101	0.1	-0.05	0.	-1.1630e-04
102	0.1	-0.05	0.025	-1.1606e-04
103	0.1	-0.05	0.05	-1.1612e-04
104	0.1	-0.05	0.075	-1.1655e-04
105	0.1	-0.05	0.1	-1.1517e-04
106	0.1	-0.025	0.	-1.1542e-04
107	0.1	-0.025	0.025	-1.1597e-04
108	0.1	-0.025	0.05	-1.1492e-04
109	0.1	-0.025	0.075	-1.1590e-04
110	0.1	-0.025	0.1	-1.1639e-04
111	0.1	0.	0.	-1.1618e-04
112	0.1	0.	0.025	-1.1604e-04
113	0.1	0.	0.05	-1.1589e-04
114	0.1	0.	0.075	-1.1580e-04
115	0.1	0.	0.1	-1.1577e-04
116	0.1	0.025	0.	-1.1611e-04
117	0.1	0.025	0.025	-1.1528e-04
118	0.1	0.025	0.05	-1.1668e-04
119	0.1	0.025	0.075	-1.1566e-04
120	0.1	0.025	0.1	-1.1626e-04
121	0.1	0.05	0.	-1.1604e-04
122	0.1	0.05	0.025	-1.1546e-04
123	0.1	0.05	0.05	-1.1660e-04
124	0.1	0.05	0.075	-1.1650e-04
125	0.1	0.05	0.1	-1.1527e-04
