Node Number	X Location (m)	Y Location (m)	Z Location (m)	Normal Stress (Pa)
1	0.	-0.05	0.	3.1112e+08
2	0.	-0.05	0.025	3.1222e+08
3	0.	-0.05	0.05	3.1276e+08
4	0.	-0.05	0.075	3.1425e+08
5	0.	-0.05	0.1	3.1245e+08
6	0.	-0.025	0.	3.7094e+08
7	0.	-0.025	0.025	3.6974e+08
8	0.	-0.025	0.05	3.7266e+08
9	0.	-0.025	0.075	3.7174e+08
10	0.	-0.025	0.1	3.7181e+08
11	0.	0.	0.	4.3268e+08
12	0.	0.	0.025	4.3335e+08
13	0.	0.	0.05	4.3270e+08
14	0.	0.	0.075	4.3156e+08
15	0.	0.	0.1	4.2992e+08
16	0.	0.025	0.	4.9019e+08
17	0.	0.025	0.025	4.9450e+08
18	0.	0.025	0.05	4.9075e+08
19	0.	0.025	0.075	4.8803e+08
20	0.	0.025	0.1	4.9542e+08
21	0.	0.05	0.	5.4888e+08
22	0.	0.05	0.025	5.5212e+08
23	0.	0.05	0.05	5.5363e+08
24	0.	0.05	0.075	5.5201e+08
25	0.	0.05	0.1	5.4379e+08
26	0.025	-0.05	0.	3.1574e+08
27	0.025	-0.05	0.025	3.1751e+08
28	0.025	-0.05	0.05	3.1649e+08
29	0.025	-0.05	0.075	3.1099e+08
30	0.025	-0.05	0.1	3.1902e+08
31	0.025	-0.025	0.	3.7053e+08
32	0.025	-0.025	0.025	3.7108e+08
33	0.025	-0.025	0.05	3.7525e+08
34	0.025	-0.025	0.075	3.7451e+08
35	0.025	-0.025	0.1	3.7368e+08
36	0.025	0.	0.	4.3052e+08
37	0.025	0.	0.025	4.3545e+08
38	0.025	0.	0.05	4.3190e+08
39	0.025	0.	0.075	4.2794e+08
40	0.025	0.	0.1	4.3519e+08
41	0.025	0.025	0.	4.9115e+08
42	0.025	0.025	0.025	4.9378e+08
43	0.025	0.025	0.05	4.9219e+08
44	0.025	0.025	0.075	4.9754e+08
45	0.025	0.025	0.1	4.8959e+08
46	0.025	0.05	0.	5.4905e+08
47	0.025	0.05	0.025	5.5137e+08
48	0.025	0.05	0.05	5.4800e+08
49	0.025	0.05	0.075	5.5164e+08
50	0.025	0.05	0.1	5.3929e+08
51	0.05	-0.05	0.	3.1786e+08
52	0.05	-0.05	0.025	3.1780e+08
53	0.05	-0.05	0.05	3.1773e+08
54	0.05	-0.05	0.075	3.1633e+08
55	0.05	-0.05	0.1	3.1973e+08
56	0.05	-0.025	0.	3.7386e+08
57	0.05	-0.025	0.025	3.7545e+08
58	0.05	-0.025	0.05	3.7492e+08
59	0.05	-0.025	0.075	3.7613e+08
60	0.05	-0.025	0.1	3.7822e+08
61	0.05	0.	0.	4.3251e+08
62	0.05	0.	0.025	4.3418e+08
63	0.05	0.	0.05	4.3238e+08
64	0.05	0.	0.075	4.3069e+08
65	0.05	0.	0.1	4.3163e+08
66	0.05	0.025	0.	4.8817e+08
67	0.05	0.025	0.025	4.9067e+08
68	0.05	0.025	0.05	4.8931e+08
69	0.05	0.025	0.075	4.8667e+08
70	0.05	0.025	0.1	4.8835e+08
71	0.05	0.05	0.	5.4100e+08
72	0.05	0.05	0.025	5.4540e+08
73	0.05	0.05	0.05	5.4600e+08
74	0.05	0.05	0.075	5.5192e+08
75	0.05	0.05	0.1	5.5042e+08
76	0.075	-0.05	0.	3.1901e+08
77	0.075	-0.05	0.025	3.2139e+08
78	0.075	-0.05	0.05	3.2142e+08
79	0.075	-0.05	0.075	3.2056e+08
80	0.075	-0.05	0.1	3.2068e+08
81	0.075	-0.025	0.	3.7570e+08
82	0.075	-0.025	0.025	3.8073e+08
83	0.075	-0.025	0.05	3.7556e+08
84	0.075	-0.025	0.075	3.7727e+08
85	0.075	-0.025	0.1	3.7079e+08
86	0.075	0.	0.	4.3413e+08
87	0.075	0.	0.025	4.3507e+08
88	0.075	0.	0.05	4.2927e+08
89	0.075	0.	0.075	4.3067e+08
90	0.075	0.	0.1	4.3317e+08
91	0.075	0.025	0.	4.8756e+08
92	0.075	0.025	0.025	4.8886e+08
93	0.075	0.025	0.05	4.8666e+08
94	0.075	0.025	0.075	4.9295e+08
95	0.075	0.025	0.1	4.8554e+08
96	0.075	0.05	0.	5.5177e+08
97	0.075	0.05	0.025	5.4705e+08
98	0.075	0.05	0.05	5.4571e+08
99	0.075	0.05	0.075	5.3961e+08
100	0.075	0.05	0.1	5.4596e+08
101	0.1	-0.05	0.	3.2517e+08
102	0.1	-0.05	0.025	3.1988e+08
103	0.1	-0.05	0.05	3.2127e+08
104	0.1	-0.05	0.075	3.2470e+08
105	0.1	-0.05	0.1	3.2374e+08
106	0.1	-0.025	0.	3.7683e+08
107	0.1	-0.025	0.025	3.8045e+08
108	0.1	-0.025	0.05	3.7600e+08
109	0.1	-0.025	0.075	3.7697e+08
110	0.1	-0.025	0.1	3.7653e+08
111	0.1	0.	0.	4.3332e+08
