Node Number	X Location (m)	Y Location (m)	Z Location (m)	Equivalent (von-Mises) Stress (Pa)
1	0.	-0.05	0.	2.3925e+08
2	0.	-0.05	0.025	2.4108e+08
3	0.	-0.05	0.05	2.3953e+08
4	0.	-0.05	0.075	2.4277e+08
5	0.	-0.05	0.1	2.3825e+08
6	0.	-0.025	0.	1.1913e+08
7	0.	-0.025	0.025	1.2115e+08
8	0.	-0.025	0.05	1.1833e+08
9	0.	-0.025	0.075	1.2009e+08
10	0.	-0.025	0.1	1.2102e+08
11	0.	0.	0.	1.0210e+07
12	0.	0.	0.025	1.0398e+07
13	0.	0.	0.05	1.0268e+07
14	0.	0.	0.075	1.0239e+07
15	0.	0.	0.1	1.0304e+07
16	0.	0.025	0.	1.2008e+08
17	0.	0.025	0.025	1.1957e+08
18	0.	0.025	0.05	1.2132e+08
19	0.	0.025	0.075	1.2033e+08
20	0.	0.025	0.1	1.1978e+08
21	0.	0.05	0.	2.3748e+08
22	0.	0.05	0.025	2.4043e+08
23	0.	0.05	0.05	2.4395e+08
24	0.	0.05	0.075	2.3865e+08
25	0.	0.05	0.1	2.3888e+08
26	0.025	-0.05	0.	2.3201e+08
27	0.025	-0.05	0.025	2.3622e+08
28	0.025	-0.05	0.05	2.3574e+08
29	0.025	-0.05	0.075	2.3316e+08
30	0.025	-0.05	0.1	2.3288e+08
31	0.025	-0.025	0.	1.1637e+08
32	0.025	-0.025	0.025	1.1699e+08
33	0.025	-0.025	0.05	1.1822e+08
34	0.025	-0.025	0.075	1.1730e+08
35	0.025	-0.025	0.1	1.1847e+08
36	0.025	0.	0.	1.0332e+07
37	0.025	0.	0.025	1.0200e+07
38	0.025	0.	0.05	1.0609e+07
39	0.025	0.	0.075	1.0410e+07
40	0.025	0.	0.1	1.0457e+07
41	0.025	0.025	0.	1.1652e+08
42	0.025	0.025	0.025	1.1598e+08
43	0.025	0.025	0.05	1.1740e+08
44	0.025	0.025	0.075	1.1539e+08
45	0.025	0.025	0.1	1.1701e+08
46	0.025	0.05	0.	2.3591e+08
47	0.025	0.05	0.025	2.3484e+08
48	0.025	0.05	0.05	2.3448e+08
49	0.025	0.05	0.075	2.3726e+08
50	0.025	0.05	0.1	2.3470e+08
51	0.05	-0.05	0.	2.2453e+08
52	0.05	-0.05	0.025	2.2773e+08
53	0.05	-0.05	0.05	2.3151e+08
54	0.05	-0.05	0.075	2.2744e+08
55	0.05	-0.05	0.1	2.3140e+08
56	0.05	-0.025	0.	1.1520e+08
57	0.05	-0.025	0.025	1.1389e+08
58	0.05	-0.025	0.05	1.1328e+08
59	0.05	-0.025	0.075	1.1458e+08
60	0.05	-0.025	0.1	1.1543e+08
61	0.05	0.	0.	1.0261e+07
62	0.05	0.	0.025	1.0402e+07
63	0.05	0.	0.05	1.0223e+07
64	0.05	0.	0.075	1.0364e+07
65	0.05	0.	0.1	1.0255e+07
66	0.05	0.025	0.	1.1478e+08
67	0.05	0.025	0.025	1.1364e+08
68	0.05	0.025	0.05	1.1532e+08
69	0.05	0.025	0.075	1.1377e+08
70	0.05	0.025	0.1	1.1369e+08
71	0.05	0.05	0.	2.2505e+08
72	0.05	0.05	0.025	2.2871e+08
73	0.05	0.05	0.05	2.2890e+08
74	0.05	0.05	0.075	2.2971e+08
75	0.05	0.05	0.1	2.2920e+08
76	0.075	-0.05	0.	2.2271e+08
77	0.075	-0.05	0.025	2.2306e+08
78	0.075	-0.05	0.05	2.2324e+08
79	0.075	-0.05	0.075	2.2361e+08
80	0.075	-0.05	0.1	2.1929e+08
81	0.075	-0.025	0.	1.1086e+08
82	0.075	-0.025	0.025	1.0983e+08
83	0.075	-0.025	0.05	1.1157e+08
84	0.075	-0.025	0.075	1.1272e+08
85	0.075	-0.025	0.1	1.1207e+08
86	0.075	0.	0.	1.0342e+07
87	0.075	0.	0.025	1.0434e+07
88	0.075	0.	0.05	1.0421e+07
89	0.075	0.	0.075	1.0412e+07
90	0.075	0.	0.1	1.0284e+07
91	0.075	0.025	0.	1.1244e+08
92	0.075	0.025	0.025	1.1022e+08
93	0.075	0.025	0.05	1.1095e+08
94	0.075	0.025	0.075	1.1213e+08
95	0.075	0.025	0.1	1.1094e+08
96	0.075	0.05	0.	2.2214e+08
97	0.075	0.05	0.025	2.2221e+08
98	0.075	0.05	0.05	2.2212e+08
99	0.075	0.05	0.075	2.2220e+08
100	0.075	0.05	0.1	2.2238e+08
101	0.1	-0.05	0.	2.1613e+08
102	0.1	-0.05	0.025	2.1445e+08
103	0.1	-0.05	0.05	2.1332e+08
104	0.1	-0.05	0.075	2.1772e+08
105	0.1	-0.05	0.1	2.1780e+08
106	0.1	-0.025	0.	1.0857e+08
107	0.1	-0.025	0.025	1.0857e+08
108	0.1	-0.025	0.05	1.0749e+08
109	0.1	-0.025	0.075	1.0617e+08
110	0.1	-0.025	0.1	1.0807e+08
111	0.1	0.	0.	1.0235e+07
112	0.1	0.	0.025	1.0408e+07
113	0.1	0.	0.05	1.0501e+07
114	0.1	0.	0.075	1.0341e+07
