Node Number	X Location (m)	Y Location (m)	Z Location (m)	Normal Stress (Pa)
1	0.	-0.05	0.	1.9418e+08
2	0.	-0.05	0.025	1.9299e+08
3	0.	-0.05	0.05	1.9210e+08
4	0.	-0.05	0.075	1.9270e+08
5	0.	-0.05	0.1	1.9146e+08
6	0.	-0.025	0.	3.1168e+08
7	0.	-0.025	0.025	3.1204e+08
8	0.	-0.025	0.05	3.1381e+08
9	0.	-0.025	0.075	3.0935e+08
10	0.	-0.025	0.1	3.1009e+08
11	0.	0.	0.	4.2883e+08
12	0.	0.	0.025	4.3421e+08
13	0.	0.	0.05	4.3174e+08
14	0.	0.	0.075	4.2962e+08
15	0.	0.	0.1	4.3143e+08
16	0.	0.025	0.	5.4991e+08
17	0.	0.025	0.025	5.4725e+08
18	0.	0.025	0.05	5.5617e+08
19	0.	0.025	0.075	5.5151e+08
20	0.	0.025	0.1	5.5625e+08
21	0.	0.05	0.	6.6616e+08
22	0.	0.05	0.025	6.7403e+08
23	0.	0.05	0.05	6.6618e+08
24	0.	0.05	0.075	6.8186e+08
25	0.	0.05	0.1	6.6503e+08
26	0.025	-0.05	0.	2.0013e+08
27	0.025	-0.05	0.025	1.9798e+08
28	0.025	-0.05	0.05	1.9778e+08
29	0.025	-0.05	0.075	1.9870e+08
30	0.025	-0.05	0.1	1.9689e+08
31	0.025	-0.025	0.	3.1648e+08
32	0.025	-0.025	0.025	3.1662e+08
33	0.025	-0.025	0.05	3.1502e+08
34	0.025	-0.025	0.075	3.1547e+08
35	0.025	-0.025	0.1	3.1865e+08
36	0.025	0.	0.	4.3369e+08
37	0.025	0.	0.025	4.2997e+08
38	0.025	0.	0.05	4.3395e+08
39	0.025	0.	0.075	4.3061e+08
40	0.025	0.	0.1	4.3010e+08
41	0.025	0.025	0.	5.5069e+08
42	0.025	0.025	0.025	5.4568e+08
43	0.025	0.025	0.05	5.4915e+08
44	0.025	0.025	0.075	5.5122e+08
45	0.025	0.025	0.1	5.5529e+08
46	0.025	0.05	0.	6.6855e+08
47	0.025	0.05	0.025	6.6013e+08
48	0.025	0.05	0.05	6.6075e+08
49	0.025	0.05	0.075	6.7290e+08
50	0.025	0.05	0.1	6.6347e+08
51	0.05	-0.05	0.	2.0214e+08
52	0.05	-0.05	0.025	2.0277e+08
53	0.05	-0.05	0.05	2.0497e+08
54	0.05	-0.05	0.075	2.0414e+08
55	0.05	-0.05	0.1	2.0479e+08
56	0.05	-0.025	0.	3.1794e+08
57	0.05	-0.025	0.025	3.1590e+08
58	0.05	-0.025	0.05	3.1459e+08
59	0.05	-0.025	0.075	3.1641e+08
60	0.05	-0.025	0.1	3.1823e+08
61	0.05	0.	0.	4.2893e+08
62	0.05	0.	0.025	4.3455e+08
63	0.05	0.	0.05	4.2941e+08
64	0.05	0.	0.075	4.2772e+08
65	0.05	0.	0.1	4.3200e+08
66	0.05	0.025	0.	5.4849e+08
67	0.05	0.025	0.025	5.5089e+08
68	0.05	0.025	0.05	5.4072e+08
69	0.05	0.025	0.075	5.5066e+08
70	0.05	0.025	0.1	5.4661e+08
71	0.05	0.05	0.	6.5754e+08
72	0.05	0.05	0.025	6.6270e+08
73	0.05	0.05	0.05	6.6537e+08
74	0.05	0.05	0.075	6.5335e+08
75	0.05	0.05	0.1	6.5829e+08
76	0.075	-0.05	0.	2.0931e+08
77	0.075	-0.05	0.025	2.1079e+08
78	0.075	-0.05	0.05	2.1184e+08
79	0.075	-0.05	0.075	2.1009e+08
80	0.075	-0.05	0.1	2.0963e+08
81	0.075	-0.025	0.	3.2186e+08
82	0.075	-0.025	0.025	3.2055e+08
83	0.075	-0.025	0.05	3.1682e+08
84	0.075	-0.025	0.075	3.2200e+08
