Node Number	X Location (m)	Y Location (m)	Z Location (m)	Normal Stress (Pa)
1	0.	-0.05	0.	4.7898e+07
2	0.	-0.05	0.025	4.7776e+07
3	0.	-0.05	0.05	4.8171e+07
4	0.	-0.05	0.075	4.7985e+07
5	0.	-0.05	0.1	4.7941e+07
6	0.	-0.025	0.	1.6874e+08
7	0.	-0.025	0.025	1.6992e+08
8	0.	-0.025	0.05	1.6828e+08
9	0.	-0.025	0.075	1.6618e+08
10	0.	-0.025	0.1	1.6643e+08
11	0.	0.	0.	2.8812e+08
12	0.	0.	0.025	2.8977e+08
13	0.	0.	0.05	2.8823e+08
14	0.	0.	0.075	2.8888e+08
15	0.	0.	0.1	2.8790e+08
16	0.	0.025	0.	4.1036e+08
17	0.	0.025	0.025	4.0951e+08
18	0.	0.025	0.05	4.0550e+08
19	0.	0.025	0.075	4.0910e+08
20	0.	0.025	0.1	4.0422e+08
21	0.	0.05	0.	5.2942e+08
22	0.	0.05	0.025	5.2711e+08
23	0.	0.05	0.05	5.2851e+08
24	0.	0.05	0.075	5.2903e+08
25	0.	0.05	0.1	5.2889e+08
26	0.025	-0.05	0.	5.4459e+07
27	0.025	-0.05	0.025	5.4011e+07
28	0.025	-0.05	0.05	5.4061e+07
29	0.025	-0.05	0.075	5.4431e+07
30	0.025	-0.05	0.1	5.4615e+07
31	0.025	-0.025	0.	1.7098e+08
32	0.025	-0.025	0.025	1.7047e+08
33	0.025	-0.025	0.05	1.7053e+08
34	0.025	-0.025	0.075	1.7146e+08
35	0.025	-0.025	0.1	1.7079e+08
36	0.025	0.	0.	2.8498e+08
37	0.025	0.	0.025	2.8994e+08
38	0.025	0.	0.05	2.8941e+08
39	0.025	0.	0.075	2.8998e+08
40	0.025	0.	0.1	2.9032e+08
41	0.025	0.025	0.	4.0546e+08
42	0.025	0.025	0.025	4.0563e+08
43	0.025	0.025	0.05	4.0745e+08
44	0.025	0.025	0.075	4.0205e+08
45	0.025	0.025	0.1	4.0414e+08
46	0.025	0.05	0.	5.2181e+08
47	0.025	0.05	0.025	5.2489e+08
48	0.025	0.05	0.05	5.2031e+08
49	0.025	0.05	0.075	5.1977e+08
50	0.025	0.05	0.1	5.2065e+08
51	0.05	-0.05	0.	6.0169e+07
52	0.05	-0.05	0.025	5.9975e+07
53	0.05	-0.05	0.05	5.9478e+07
54	0.05	-0.05	0.075	5.9549e+07
55	0.05	-0.05	0.1	6.0049e+07
56	0.05	-0.025	0.	1.7418e+08
57	0.05	-0.025	0.025	1.7403e+08
58	0.05	-0.025	0.05	1.7351e+08
59	0.05	-0.025	0.075	1.7482e+08
60	0.05	-0.025	0.1	1.7439e+08
61	0.05	0.	0.	2.8858e+08
62	0.05	0.	0.025	2.8864e+08
63	0.05	0.	0.05	2.9076e+08
64	0.05	0.	0.075	2.8623e+08
65	0.05	0.	0.1	2.8727e+08
66	0.05	0.025	0.	4.0119e+08
67	0.05	0.025	0.025	4.0503e+08
68	0.05	0.025	0.05	4.0110e+08
69	0.05	0.025	0.075	4.0009e+08
70	0.05	0.025	0.1	4.0174e+08
71	0.05	0.05	0.	5.1632e+08
72	0.05	0.05	0.025	5.1970e+08
73	0.05	0.05	0.05	5.1482e+08
74	0.05	0.05	0.075	5.1387e+08
75	0.05	0.05	0.1	5.1318e+08
76	0.075	-0.05	0.	6.5864e+07
77	0.075	-0.05	0.025	6.7015e+07
78	0.075	-0.05	0.05	6.6151e+07
79	0.075	-0.05	0.075	6.6237e+07
80	0.075	-0.05	0.1	6.6000e+07
81	0.075	-0.025	0.	1.7715e+08
82	0.075	-0.025	0.025	1.7784e+08
83	0.075	-0.025	0.05	1.7760e+08
84	0.075	-0.025	0.075	1.7737e+08
85	0.075	-0.025	0.1	1.7702e+08
86	0.075	0.	0.	2.8739e+08
87	0.075	0.	0.025	2.8873e+08
88	0.075	0.	0.05	2.8814e+08
89	0.075	0.	0.075	2.9169e+08
90	0.075	0.	0.1	2.8982e+08
91	0.075	0.025	0.	3.9739e+08
92	0.075	0.025	0.025	3.9620e+08
93	0.075	0.025	0.05	3.9805e+08
94	0.075	0.025	0.075	3.9641e+08
95	0.075	0.025	0.1	3.9790e+08
96	0.075	0.05	0.	5.0703e+08
97	0.075	0.05	0.025	5.0900e+08
98	0.075	0.05	0.05	5.0904e+08
99	0.075	0.05	0.075	5.1045e+08
100	0.075	0.05	0.1	5.0937e+08
101	0.1	-0.05	0.	7.1610e+07
102	0.1	-0.05	0.025	7.2525e+07
103	0.1	-0.05	0.05	7.2174e+07
104	0.1	-0.05	0.075	7.1765e+07
105	0.1	-0.05	0.1	7.1617e+07
106	0.1	-0.025	0.	1.7842e+08
107	0.1	-0.025	0.025	1.7834e+08
108	0.1	-0.025	0.05	1.8113e+08
109	0.1	-0.025	0.075	1.8102e+08
110	0.1	-0.025	0.1	1.7937e+08
111	0.1	0.	0.	2.9036e+08
112	0.1	0.	0.025	2.8907e+08
113	0.1	0.	0.05	2.8835e+08
114	0.1	0.	0.075	2.8949e+08
115	0.1	0.	0.1	2.8907e+08
116	0.1	0.025	0.	3.9637e+08
117	0.1	0.025	0.025	3.9543e+08
118	0.1	0.025	0.05	3.9575e+08
119	0.1	0.025	0.075	3.9218e+08
120	0.1	0.025	0.1	3.9410e+08
121	0.1	0.05	0.	5.0944e+08
122	0.1	0.05	0.025	5.0150e+08
123	0.1	0.05	0.05	4.9840e+08
124	0.1	0.05	0.075	5.0673e+08
125	0.1	0.05	0.1	5.0475e+08
126	0.125	-0.05	0.	7.8143e+07
127	0.125	-0.05	0.025	7.7926e+07
128	0.125	-0.05	0.05	7.8426e+07
129	0.125	-0.05	0.075	7.8716e+07
130	0.125	-0.05	0.1	7.7756e+07
131	0.125	-0.025	0.	1.8369e+08
132	0.125	-0.025	0.025	1.8423e+08
133	0.125	-0.025	0.05	1.8237e+08
134	0.125	-0.025	0.075	1.8466e+08
135	0.125	-0.025	0.1	1.8422e+08
136	0.125	0.	0.	2.8585e+08
137	0.125	0.	0.025	2.9076e+08
138	0.125	0.	0.05	2.8594e+08
139	0.125	0.	0.075	2.8681e+08
140	0.125	0.	0.1	2.8918e+08
141	0.125	0.025	0.	3.9546e+08
142	0.125	0.025	0.025	3.9323e+08
143	0.125	0.025	0.05	3.9151e+08
144	0.125	0.025	0.075	3.9239e+08
145	0.125	0.025	0.1	3.9211e+08
146	0.125	0.05	0.	5.0051e+08
147	0.125	0.05	0.025	4.9679e+08
148	0.125	0.05	0.05	4.9605e+08
149	0.125	0.05	0.075	4.9359e+08
150	0.125	0.05	0.1	4.9622e+08
151	0.15	-0.05	0.	8.3940e+07
152	0.15	-0.05	0.025	8.3430e+07
153	0.15	-0.05	0.05	8.3121e+07
154	0.15	-0.05	0.075	8.4494e+07
155	0.15	-0.05	0.1	8.3496e+07
156	0.15	-0.025	0.	1.8454e+08
157	0.15	-0.025	0.025	1.8775e+08
158	0.15	-0.025	0.05	1.8695e+08
159	0.15	-0.025	0.075	1.8714e+08
160	0.15	-0.025	0.1	1.8656e+08
161	0.15	0.	0.	2.9027e+08
162	0.15	0.	0.025	2.8953e+08
163	0.15	0.	0.05	2.8740e+08
164	0.15	0.	0.075	2.8616e+08
165	0.15	0.	0.1	2.8578e+08
166	0.15	0.025	0.	3.8967e+08
167	0.15	0.025	0.025	3.8743e+08
168	0.15	0.025	0.05	3.8813e+08
169	0.15	0.025	0.075	3.8964e+08
170	0.15	0.025	0.1	3.9327e+08
171	0.15	0.05	0.	4.8754e+08
172	0.15	0.05	0.025	4.9209e+08
173	0.15	0.05	0.05	4.8831e+08
174	0.15	0.05	0.075	4.9036e+08
175	0.15	0.05	0.1	4.9474e+08
176	0.175	-0.05	0.	8.9542e+07
177	0.175	-0.05	0.025	8.9858e+07
178	0.175	-0.05	0.05	9.0076e+07
179	0.175	-0.05	0.075	9.0379e+07
180	0.175	-0.05	0.1	8.9704e+07
181	0.175	-0.025	0.	1.9043e+08
182	0.175	-0.025	0.025	1.8850e+08
183	0.175	-0.025	0.05	1.8955e+08
184	0.175	-0.025	0.075	1.8878e+08
185	0.175	-0.025	0.1	1.8984e+08
186	0.175	0.	0.	2.9150e+08
187	0.175	0.	0.025	2.8752e+08
188	0.175	0.	0.05	2.8797e+08
189	0.175	0.	0.075	2.8725e+08
190	0.175	0.	0.1	2.8699e+08
191	0.175	0.025	0.	3.8538e+08
192	0.175	0.025	0.025	3.8696e+08
193	0.175	0.025	0.05	3.8520e+08
194	0.175	0.025	0.075	3.8527e+08
195	0.175	0.025	0.1	3.7965e+08
196	0.175	0.05	0.	4.9004e+08
197	0.175	0.05	0.025	4.9079e+08
198	0.175	0.05	0.05	4.8789e+08
199	0.175	0.05	0.075	4.8345e+08
200	0.175	0.05	0.1	4.8232e+08
201	0.2	-0.05	0.	9.5099e+07
202	0.2	-0.05	0.025	9.6368e+07
203	0.2	-0.05	0.05	9.6729e+07
204	0.2	-0.05	0.075	9.6096e+07
205	0.2	-0.05	0.1	9.6494e+07
206	0.2	-0.025	0.	1.9251e+08
207	0.2	-0.025	0.025	1.9111e+08
208	0.2	-0.025	0.05	1.9316e+08
209	0.2	-0.025	0.075	1.9309e+08
210	0.2	-0.025	0.1	1.9086e+08
211	0.2	0.	0.	2.8939e+08
212	0.2	0.	0.025	2.8774e+08
213	0.2	0.	0.05	2.8755e+08
214	0.2	0.	0.075	2.8867e+08
215	0.2	0.	0.1	2.8862e+08
216	0.2	0.025	0.	3.8605e+08
217	0.2	0.025	0.025	3.8204e+08
218	0.2	0.025	0.05	3.8530e+08
219	0.2	0.025	0.075	3.8133e+08
220	0.2	0.025	0.1	3.8359e+08
221	0.2	0.05	0.	4.7968e+08
222	0.2	0.05	0.025	4.8279e+08
223	0.2	0.05	0.05	4.8003e+08
224	0.2	0.05	0.075	4.7925e+08
225	0.2	0.05	0.1	4.8411e+08
226	0.225	-0.05	0.	1.0174e+08
227	0.225	-0.05	0.025	1.0171e+08
228	0.225	-0.05	0.05	1.0085e+08
229	0.225	-0.05	0.075	1.0187e+08
230	0.225	-0.05	0.1	1.0142e+08
231	0.225	-0.025	0.	1.9471e+08
232	0.225	-0.025	0.025	1.9528e+08
233	0.225	-0.025	0.05	1.9373e+08
234	0.225	-0.025	0.075	1.9404e+08
235	0.225	-0.025	0.1	1.9313e+08
236	0.225	0.	0.	2.8712e+08
237	0.225	0.	0.025	2.8637e+08
238	0.225	0.	0.05	2.9171e+08
239	0.225	0.	0.075	2.9060e+08
