Node Number	X Location (m)	Y Location (m)	Z Location (m)	Directional Deformation (m)
1	0.	-0.05	0.	-0.0000e+00
2	0.	-0.05	0.025	-0.0000e+00
3	0.	-0.05	0.05	-0.0000e+00
4	0.	-0.05	0.075	-0.0000e+00
5	0.	-0.05	0.1	-0.0000e+00
6	0.	-0.025	0.	-0.0000e+00
7	0.	-0.025	0.025	-0.0000e+00
8	0.	-0.025	0.05	-0.0000e+00
9	0.	-0.025	0.075	-0.0000e+00
10	0.	-0.025	0.1	-0.0000e+00
11	0.	0.	0.	-0.0000e+00
12	0.	0.	0.025	-0.0000e+00
13	0.	0.	0.05	-0.0000e+00
14	0.	0.	0.075	-0.0000e+00
15	0.	0.	0.1	-0.0000e+00
16	0.	0.025	0.	-0.0000e+00
17	0.	0.025	0.025	-0.0000e+00
18	0.	0.025	0.05	-0.0000e+00
19	0.	0.025	0.075	-0.0000e+00
20	0.	0.025	0.1	-0.0000e+00
21	0.	0.05	0.	-0.0000e+00
22	0.	0.05	0.025	-0.0000e+00
23	0.	0.05	0.05	-0.0000e+00
24	0.	0.05	0.075	-0.0000e+00
25	0.	0.05	0.1	-0.0000e+00
26	0.025	-0.05	0.	-5.5603e-06
27	0.025	-0.05	0.025	-5.5941e-06
28	0.025	-0.05	0.05	-5.5643e-06
29	0.025	-0.05	0.075	-5.5953e-06
30	0.025	-0.05	0.1	-5.5648e-06
31	0.025	-0.025	0.	-5.5730e-06
32	0.025	-0.025	0.025	-5.5789e-06
33	0.025	-0.025	0.05	-5.5816e-06
34	0.025	-0.025	0.075	-5.5575e-06
35	0.025	-0.025	0.1	-5.5938e-06
36	0.025	0.	0.	-5.5721e-06
37	0.025	0.	0.025	-5.5903e-06
38	0.025	0.	0.05	-5.5778e-06
39	0.025	0.	0.075	-5.5912e-06
40	0.025	0.	0.1	-5.5689e-06
41	0.025	0.025	0.	-5.5605e-06
42	0.025	0.025	0.025	-5.5876e-06
43	0.025	0.025	0.05	-5.5671e-06
44	0.025	0.025	0.075	-5.6107e-06
45	0.025	0.025	0.1	-5.5796e-06
46	0.025	0.05	0.	-5.5475e-06
47	0.025	0.05	0.025	-5.5651e-06
48	0.025	0.05	0.05	-5.5558e-06
49	0.025	0.05	0.075	-5.6021e-06
50	0.025	0.05	0.1	-5.5954e-06
51	0.05	-0.05	0.	-2.2120e-05
52	0.05	-0.05	0.025	-2.2151e-05
53	0.05	-0.05	0.05	-2.2117e-05
54	0.05	-0.05	0.075	-2.2201e-05
55	0.05	-0.05	0.1	-2.2171e-05
56	0.05	-0.025	0.	-2.2187e-05
57	0.05	-0.025	0.025	-2.2108e-05
58	0.05	-0.025	0.05	-2.2069e-05
59	0.05	-0.025	0.075	-2.2184e-05
60	0.05	-0.025	0.1	-2.2262e-05
61	0.05	0.	0.	-2.2223e-05
62	0.05	0.	0.025	-2.2265e-05
63	0.05	0.	0.05	-2.2139e-05
64	0.05	0.	0.075	-2.2039e-05
65	0.05	0.	0.1	-2.2047e-05
66	0.05	0.025	0.	-2.2247e-05
67	0.05	0.025	0.025	-2.1960e-05
68	0.05	0.025	0.05	-2.2258e-05
69	0.05	0.025	0.075	-2.2055e-05
70	0.05	0.025	0.1	-2.2295e-05
71	0.05	0.05	0.	-2.2119e-05
72	0.05	0.05	0.025	-2.2189e-05
73	0.05	0.05	0.05	-2.2336e-05
74	0.05	0.05	0.075	-2.2096e-05
75	0.05	0.05	0.1	-2.2094e-05
76	0.075	-0.05	0.	-4.9222e-05
77	0.075	-0.05	0.025	-4.9162e-05
78	0.075	-0.05	0.05	-4.9294e-05
79	0.075	-0.05	0.075	-4.9250e-05
80	0.075	-0.05	0.1	-4.9113e-05
81	0.075	-0.025	0.	-4.9318e-05
82	0.075	-0.025	0.025	-4.9448e-05
83	0.075	-0.025	0.05	-4.9182e-05
84	0.075	-0.025	0.075	-4.9327e-05
85	0.075	-0.025	0.1	-4.9637e-05
86	0.075	0.	0.	-4.9079e-05
87	0.075	0.	0.025	-4.9741e-05
88	0.075	0.	0.05	-4.9226e-05
89	0.075	0.	0.075	-4.9399e-05
90	0.075	0.	0.1	-4.9612e-05
91	0.075	0.025	0.	-4.9672e-05
92	0.075	0.025	0.025	-4.9452e-05
93	0.075	0.025	0.05	-4.9222e-05
94	0.075	0.025	0.075	-4.9205e-05
95	0.075	0.025	0.1	-4.9246e-05
96	0.075	0.05	0.	-4.9732e-05
97	0.075	0.05	0.025	-4.9284e-05
98	0.075	0.05	0.05	-4.9423e-05
99	0.075	0.05	0.075	-4.9153e-05
100	0.075	0.05	0.1	-4.9131e-05
101	0.1	-0.05	0.	-8.7009e-05
102	0.1	-0.05	0.025	-8.6887e-05
103	0.1	-0.05	0.05	-8.6912e-05
104	0.1	-0.05	0.075	-8.6485e-05
105	0.1	-0.05	0.1	-8.6974e-05
106	0.1	-0.025	0.	-8.7539e-05
107	0.1	-0.025	0.025	-8.6703e-05
108	0.1	-0.025	0.05	-8.7312e-05
109	0.1	-0.025	0.075	-8.5794e-05
110	0.1	-0.025	0.1	-8.6721e-05
111	0.1	0.	0.	-8.6335e-05
112	0.1	0.	0.025	-8.7430e-05
113	0.1	0.	0.05	-8.7306e-05
114	0.1	0.	0.075	-8.6640e-05
115	0.1	0.	0.1	-8.7101e-05
116	0.1	0.025	0.	-8.7418e-05
117	0.1	0.025	0.025	-8.7472e-05
118	0.1	0.025	0.05	-8.6859e-05
119	0.1	0.025	0.075	-8.6231e-05
120	0.1	0.025	0.1	-8.6687e-05
121	0.1	0.05	0.	-8.7267e-05
122	0.1	0.05	0.025	-8.7730e-05
123	0.1	0.05	0.05	-8.6981e-05
124	0.1	0.05	0.075	-8.6789e-05
125	0.1	0.05	0.1	-8.7835e-05
