Node Number	X Location (m)	Y Location (m)	Z Location (m)	Equivalent (von-Mises) Stress (Pa)
1	0.	-0.05	0.	6.0146e+07
2	0.	-0.05	0.025	5.9501e+07
3	0.	-0.05	0.05	6.0360e+07
4	0.	-0.05	0.075	6.0451e+07
5	0.	-0.05	0.1	5.9064e+07
6	0.	-0.025	0.	2.9750e+07
7	0.	-0.025	0.025	3.0094e+07
8	0.	-0.025	0.05	2.9987e+07
9	0.	-0.025	0.075	3.0059e+07
10	0.	-0.025	0.1	2.9858e+07
11	0.	0.	0.	2.6164e+06
12	0.	0.	0.025	2.6142e+06
13	0.	0.	0.05	2.5994e+06
14	0.	0.	0.075	2.6215e+06
15	0.	0.	0.1	2.6078e+06
16	0.	0.025	0.	2.9857e+07
17	0.	0.025	0.025	3.0152e+07
18	0.	0.025	0.05	2.9833e+07
19	0.	0.025	0.075	3.0274e+07
20	0.	0.025	0.1	3.0051e+07
21	0.	0.05	0.	5.9911e+07
22	0.	0.05	0.025	5.9673e+07
23	0.	0.05	0.05	6.0587e+07
24	0.	0.05	0.075	5.9926e+07
25	0.	0.05	0.1	5.9794e+07
26	0.025	-0.05	0.	5.8335e+07
27	0.025	-0.05	0.025	5.8749e+07
28	0.025	-0.05	0.05	5.8671e+07
29	0.025	-0.05	0.075	5.8693e+07
30	0.025	-0.05	0.1	5.8702e+07
31	0.025	-0.025	0.	2.9817e+07
32	0.025	-0.025	0.025	2.9220e+07
33	0.025	-0.025	0.05	2.9195e+07
34	0.025	-0.025	0.075	2.9124e+07
35	0.025	-0.025	0.1	2.9459e+07
36	0.025	0.	0.	2.6215e+06
37	0.025	0.	0.025	2.5957e+06
38	0.025	0.	0.05	2.5806e+06
39	0.025	0.	0.075	2.5809e+06
40	0.025	0.	0.1	2.6116e+06
41	0.025	0.025	0.	2.9489e+07
42	0.025	0.025	0.025	2.9442e+07
43	0.025	0.025	0.05	2.9159e+07
44	0.025	0.025	0.075	2.9369e+07
45	0.025	0.025	0.1	2.9342e+07
46	0.025	0.05	0.	5.8602e+07
47	0.025	0.05	0.025	5.8908e+07
48	0.025	0.05	0.05	5.8605e+07
49	0.025	0.05	0.075	5.8818e+07
50	0.025	0.05	0.1	5.8532e+07
51	0.05	-0.05	0.	5.7132e+07
52	0.05	-0.05	0.025	5.7288e+07
53	0.05	-0.05	0.05	5.6336e+07
54	0.05	-0.05	0.075	5.6854e+07
55	0.05	-0.05	0.1	5.6786e+07
56	0.05	-0.025	0.	2.8421e+07
57	0.05	-0.025	0.025	2.8504e+07
58	0.05	-0.025	0.05	2.8908e+07
59	0.05	-0.025	0.075	2.8369e+07
60	0.05	-0.025	0.1	2.8788e+07
61	0.05	0.	0.	2.5631e+06
62	0.05	0.	0.025	2.5911e+06
63	0.05	0.	0.05	2.6015e+06
64	0.05	0.	0.075	2.6103e+06
65	0.05	0.	0.1	2.6129e+06
66	0.05	0.025	0.	2.8748e+07
67	0.05	0.025	0.025	2.8487e+07
68	0.05	0.025	0.05	2.8461e+07
69	0.05	0.025	0.075	2.8763e+07
70	0.05	0.025	0.1	2.8523e+07
71	0.05	0.05	0.	5.6418e+07
72	0.05	0.05	0.025	5.6483e+07
73	0.05	0.05	0.05	5.6581e+07
74	0.05	0.05	0.075	5.7227e+07
75	0.05	0.05	0.1	5.7065e+07
76	0.075	-0.05	0.	5.5807e+07
77	0.075	-0.05	0.025	5.5310e+07
78	0.075	-0.05	0.05	5.5570e+07
79	0.075	-0.05	0.075	5.5778e+07
80	0.075	-0.05	0.1	5.5363e+07
81	0.075	-0.025	0.	2.7920e+07
82	0.075	-0.025	0.025	2.7671e+07
83	0.075	-0.025	0.05	2.7738e+07
84	0.075	-0.025	0.075	2.7733e+07
85	0.075	-0.025	0.1	2.7552e+07
86	0.075	0.	0.	2.6082e+06
87	0.075	0.	0.025	2.5883e+06
88	0.075	0.	0.05	2.5983e+06
89	0.075	0.	0.075	2.6081e+06
90	0.075	0.	0.1	2.6074e+06
91	0.075	0.025	0.	2.7966e+07
92	0.075	0.025	0.025	2.7796e+07
93	0.075	0.025	0.05	2.7724e+07
94	0.075	0.025	0.075	2.7801e+07
95	0.075	0.025	0.1	2.7443e+07
96	0.075	0.05	0.	5.4857e+07
97	0.075	0.05	0.025	5.4913e+07
98	0.075	0.05	0.05	5.5057e+07
99	0.075	0.05	0.075	5.5677e+07
100	0.075	0.05	0.1	5.5098e+07
101	0.1	-0.05	0.	5.3837e+07
102	0.1	-0.05	0.025	5.4561e+07
103	0.1	-0.05	0.05	5.3846e+07
104	0.1	-0.05	0.075	5.4319e+07
105	0.1	-0.05	0.1	5.3597e+07
106	0.1	-0.025	0.	2.7026e+07
107	0.1	-0.025	0.025	2.6864e+07
108	0.1	-0.025	0.05	2.6997e+07
109	0.1	-0.025	0.075	2.7252e+07
110	0.1	-0.025	0.1	2.6696e+07
111	0.1	0.	0.	2.6071e+06
112	0.1	0.	0.025	2.6030e+06
113	0.1	0.	0.05	2.5857e+06
114	0.1	0.	0.075	2.5680e+06
115	0.1	0.	0.1	2.5996e+06
116	0.1	0.025	0.	2.6956e+07
117	0.1	0.025	0.025	2.7121e+07
118	0.1	0.025	0.05	2.7075e+07
119	0.1	0.025	0.075	2.7417e+07
120	0.1	0.025	0.1	2.7018e+07
121	0.1	0.05	0.	5.3558e+07
122	0.1	0.05	0.025	5.4077e+07
123	0.1	0.05	0.05	5.4095e+07
124	0.1	0.05	0.075	5.4587e+07
125	0.1	0.05	0.1	5.4361e+07
126	0.125	-0.05	0.	5.2650e+07
127	0.125	-0.05	0.025	5.3115e+07
128	0.125	-0.05	0.05	5.2001e+07
129	0.125	-0.05	0.075	5.2231e+07
130	0.125	-0.05	0.1	5.2111e+07
131	0.125	-0.025	0.	2.6240e+07
132	0.125	-0.025	0.025	2.6032e+07
133	0.125	-0.025	0.05	2.6456e+07
134	0.125	-0.025	0.075	2.6275e+07
135	0.125	-0.025	0.1	2.6013e+07
136	0.125	0.	0.	2.5770e+06
137	0.125	0.	0.025	2.6046e+06
138	0.125	0.	0.05	2.6155e+06
139	0.125	0.	0.075	2.6396e+06
140	0.125	0.	0.1	2.6586e+06
141	0.125	0.025	0.	2.6409e+07
142	0.125	0.025	0.025	2.6114e+07
143	0.125	0.025	0.05	2.5873e+07
144	0.125	0.025	0.075	2.6379e+07
145	0.125	0.025	0.1	2.6151e+07
146	0.125	0.05	0.	5.2326e+07
147	0.125	0.05	0.025	5.2243e+07
148	0.125	0.05	0.05	5.2441e+07
149	0.125	0.05	0.075	5.2948e+07
150	0.125	0.05	0.1	5.2566e+07
151	0.15	-0.05	0.	5.0935e+07
152	0.15	-0.05	0.025	5.0577e+07
153	0.15	-0.05	0.05	5.0317e+07
154	0.15	-0.05	0.075	5.0802e+07
155	0.15	-0.05	0.1	5.0978e+07
156	0.15	-0.025	0.	2.5936e+07
157	0.15	-0.025	0.025	2.5601e+07
158	0.15	-0.025	0.05	2.5775e+07
159	0.15	-0.025	0.075	2.5472e+07
160	0.15	-0.025	0.1	2.5332e+07
161	0.15	0.	0.	2.5780e+06
162	0.15	0.	0.025	2.5830e+06
163	0.15	0.	0.05	2.6423e+06
164	0.15	0.	0.075	2.5810e+06
165	0.15	0.	0.1	2.6155e+06
166	0.15	0.025	0.	2.5390e+07
167	0.15	0.025	0.025	2.5765e+07
168	0.15	0.025	0.05	2.5653e+07
169	0.15	0.025	0.075	2.5542e+07
170	0.15	0.025	0.1	2.5566e+07
171	0.15	0.05	0.	5.0733e+07
172	0.15	0.05	0.025	5.1182e+07
173	0.15	0.05	0.05	5.0814e+07
174	0.15	0.05	0.075	5.0500e+07
175	0.15	0.05	0.1	5.0479e+07
176	0.175	-0.05	0.	4.9568e+07
177	0.175	-0.05	0.025	5.0125e+07
178	0.175	-0.05	0.05	4.9563e+07
179	0.175	-0.05	0.075	4.9453e+07
180	0.175	-0.05	0.1	4.9613e+07
181	0.175	-0.025	0.	2.5086e+07
182	0.175	-0.025	0.025	2.4870e+07
183	0.175	-0.025	0.05	2.4745e+07
184	0.175	-0.025	0.075	2.5046e+07
185	0.175	-0.025	0.1	2.4912e+07
186	0.175	0.	0.	2.6300e+06
187	0.175	0.	0.025	2.6019e+06
188	0.175	0.	0.05	2.5726e+06
189	0.175	0.	0.075	2.5696e+06
190	0.175	0.	0.1	2.6324e+06
191	0.175	0.025	0.	2.5169e+07
192	0.175	0.025	0.025	2.4791e+07
193	0.175	0.025	0.05	2.4750e+07
194	0.175	0.025	0.075	2.5117e+07
195	0.175	0.025	0.1	2.4607e+07
196	0.175	0.05	0.	4.9146e+07
197	0.175	0.05	0.025	4.9755e+07
198	0.175	0.05	0.05	4.9344e+07
199	0.175	0.05	0.075	4.9498e+07
200	0.175	0.05	0.1	4.9435e+07
201	0.2	-0.05	0.	4.8130e+07
202	0.2	-0.05	0.025	4.8540e+07
203	0.2	-0.05	0.05	4.8035e+07
204	0.2	-0.05	0.075	4.8247e+07
205	0.2	-0.05	0.1	4.7213e+07
206	0.2	-0.025	0.	2.4070e+07
207	0.2	-0.025	0.025	2.3917e+07
208	0.2	-0.025	0.05	2.3844e+07
209	0.2	-0.025	0.075	2.3910e+07
210	0.2	-0.025	0.1	2.4015e+07
211	0.2	0.	0.	2.6171e+06
212	0.2	0.	0.025	2.5705e+06
213	0.2	0.	0.05	2.5987e+06
214	0.2	0.	0.075	2.5880e+06
215	0.2	0.	0.1	2.5913e+06
216	0.2	0.025	0.	2.4272e+07
217	0.2	0.025	0.025	2.4183e+07
218	0.2	0.025	0.05	2.4337e+07
219	0.2	0.025	0.075	2.4049e+07
220	0.2	0.025	0.1	2.3945e+07
221	0.2	0.05	0.	4.7914e+07
222	0.2	0.05	0.025	4.8093e+07
223	0.2	0.05	0.05	4.8068e+07
224	0.2	0.05	0.075	4.7584e+07
225	0.2	0.05	0.1	4.8035e+07
226	0.225	-0.05	0.	4.6585e+07
227	0.225	-0.05	0.025	4.7437e+07
228	0.225	-0.05	0.05	4.7198e+07
229	0.225	-0.05	0.075	4.6183e+07
230	0.225	-0.05	0.1	4.6393e+07
231	0.225	-0.025	0.	2.3058e+07
232	0.225	-0.025	0.025	2.3221e+07
233	0.225	-0.025	0.05	2.3390e+07
234	0.225	-0.025	0.075	2.3557e+07
235	0.225	-0.025	0.1	2.3195e+07
236	0.225	0.	0.	2.5845e+06
237	0.225	0.	0.025	2.5534e+06
238	0.225	0.	0.05	2.5947e+06
239	0.225	0.	0.075	2.5760e+06
240	0.225	0.	0.1	2.5871e+06
241	0.225	0.025	0.	2.3168e+07
242	0.225	0.025	0.025	2.3314e+07
243	0.225	0.025	0.05	2.3003e+07
244	0.225	0.025	0.075	2.3058e+07
245	0.225	0.025	0.1	2.3729e+07
246	0.225	0.05	0.	4.6021e+07
247	0.225	0.05	0.025	4.6092e+07
248	0.225	0.05	0.05	4.7183e+07
249	0.225	0.05	0.075	4.7581e+07
250	0.225	0.05	0.1	4.6064e+07
251	0.25	-0.05	0.	4.4867e+07
252	0.25	-0.05	0.025	4.5123e+07
253	0.25	-0.05	0.05	4.5622e+07
254	0.25	-0.05	0.075	4.4645e+07
255	0.25	-0.05	0.1	4.4912e+07
256	0.25	-0.025	0.	2.2725e+07
257	0.25	-0.025	0.025	2.2663e+07
258	0.25	-0.025	0.05	2.2516e+07
259	0.25	-0.025	0.075	2.2560e+07
260	0.25	-0.025	0.1	2.2336e+07
261	0.25	0.	0.	2.5931e+06
262	0.25	0.	0.025	2.5925e+06
263	0.25	0.	0.05	2.6029e+06
264	0.25	0.	0.075	2.5865e+06
265	0.25	0.	0.1	2.6079e+06
266	0.25	0.025	0.	2.2767e+07
267	0.25	0.025	0.025	2.2612e+07
268	0.25	0.025	0.05	2.2648e+07
269	0.25	0.025	0.075	2.2594e+07
270	0.25	0.025	0.1	2.2584e+07
271	0.25	0.05	0.	4.4740e+07
272	0.25	0.05	0.025	4.5114e+07
273	0.25	0.05	0.05	4.4965e+07
274	0.25	0.05	0.075	4.5754e+07
275	0.25	0.05	0.1	4.5566e+07
276	0.275	-0.05	0.	4.3634e+07
277	0.275	-0.05	0.025	4.3234e+07
278	0.275	-0.05	0.05	4.3113e+07
279	0.275	-0.05	0.075	4.3915e+07
280	0.275	-0.05	0.1	4.3591e+07
281	0.275	-0.025	0.	2.1921e+07
282	0.275	-0.025	0.025	2.1532e+07
283	0.275	-0.025	0.05	2.1999e+07
284	0.275	-0.025	0.075	2.1916e+07
285	0.275	-0.025	0.1	2.1643e+07
286	0.275	0.	0.	2.5883e+06
287	0.275	0.	0.025	2.6036e+06
288	0.275	0.	0.05	2.5992e+06
289	0.275	0.	0.075	2.5920e+06
290	0.275	0.	0.1	2.5959e+06
291	0.275	0.025	0.	2.1793e+07
292	0.275	0.025	0.025	2.1864e+07
293	0.275	0.025	0.05	2.2094e+07
294	0.275	0.025	0.075	2.1389e+07
295	0.275	0.025	0.1	2.1796e+07
296	0.275	0.05	0.	4.3561e+07
297	0.275	0.05	0.025	4.3603e+07
298	0.275	0.05	0.05	4.3371e+07
299	0.275	0.05	0.075	4.2889e+07
300	0.275	0.05	0.1	4.3614e+07
301	0.3	-0.05	0.	4.2580e+07
302	0.3	-0.05	0.025	4.1485e+07
303	0.3	-0.05	0.05	4.2290e+07
304	0.3	-0.05	0.075	4.1890e+07
305	0.3	-0.05	0.1	4.1979e+07
306	0.3	-0.025	0.	2.0913e+07
307	0.3	-0.025	0.025	2.1034e+07
308	0.3	-0.025	0.05	2.1310e+07
309	0.3	-0.025	0.075	2.1189e+07
310	0.3	-0.025	0.1	2.1382e+07
311	0.3	0.	0.	2.6225e+06
312	0.3	0.	0.025	2.6072e+06
313	0.3	0.	0.05	2.6343e+06
314	0.3	0.	0.075	2.6072e+06
315	0.3	0.	0.1	2.6153e+06
316	0.3	0.025	0.	2.1040e+07
317	0.3	0.025	0.025	2.1101e+07
318	0.3	0.025	0.05	2.0973e+07
319	0.3	0.025	0.075	2.1257e+07
320	0.3	0.025	0.1	2.0891e+07
321	0.3	0.05	0.	4.2263e+07
322	0.3	0.05	0.025	4.1936e+07
323	0.3	0.05	0.05	4.2394e+07
324	0.3	0.05	0.075	4.2252e+07
325	0.3	0.05	0.1	4.2612e+07
326	0.325	-0.05	0.	4.0737e+07
327	0.325	-0.05	0.025	3.9991e+07
328	0.325	-0.05	0.05	4.0478e+07
329	0.325	-0.05	0.075	4.0120e+07
330	0.325	-0.05	0.1	4.0332e+07
331	0.325	-0.025	0.	2.0589e+07
332	0.325	-0.025	0.025	2.0447e+07
333	0.325	-0.025	0.05	2.0230e+07
334	0.325	-0.025	0.075	2.0179e+07
335	0.325	-0.025	0.1	2.0349e+07
336	0.325	0.	0.	2.5728e+06
337	0.325	0.	0.025	2.5841e+06
338	0.325	0.	0.05	2.6046e+06
339	0.325	0.	0.075	2.6221e+06
340	0.325	0.	0.1	2.6107e+06
341	0.325	0.025	0.	1.9971e+07
342	0.325	0.025	0.025	2.0393e+07
343	0.325	0.025	0.05	2.0355e+07
344	0.325	0.025	0.075	2.0411e+07
345	0.325	0.025	0.1	2.0607e+07
346	0.325	0.05	0.	3.9832e+07
347	0.325	0.05	0.025	4.0308e+07
348	0.325	0.05	0.05	4.0691e+07
349	0.325	0.05	0.075	3.9988e+07
350	0.325	0.05	0.1	4.0978e+07
351	0.35	-0.05	0.	3.9115e+07
352	0.35	-0.05	0.025	3.9264e+07
353	0.35	-0.05	0.05	3.8822e+07
354	0.35	-0.05	0.075	3.9254e+07
355	0.35	-0.05	0.1	3.9333e+07
356	0.35	-0.025	0.	1.9634e+07
357	0.35	-0.025	0.025	1.9634e+07
358	0.35	-0.025	0.05	1.9639e+07
359	0.35	-0.025	0.075	1.9462e+07
360	0.35	-0.025	0.1	1.9574e+07
361	0.35	0.	0.	2.5949e+06
362	0.35	0.	0.025	2.6060e+06
363	0.35	0.	0.05	2.6189e+06
364	0.35	0.	0.075	2.5761e+06
365	0.35	0.	0.1	2.5955e+06
366	0.35	0.025	0.	1.9829e+07
367	0.35	0.025	0.025	1.9481e+07
368	0.35	0.025	0.05	1.9468e+07
369	0.35	0.025	0.075	1.9629e+07
370	0.35	0.025	0.1	1.9729e+07
371	0.35	0.05	0.	3.9004e+07
372	0.35	0.05	0.025	3.9415e+07
373	0.35	0.05	0.05	3.9267e+07
374	0.35	0.05	0.075	3.9263e+07
375	0.35	0.05	0.1	3.9173e+07
376	0.375	-0.05	0.	3.8198e+07
377	0.375	-0.05	0.025	3.7438e+07
378	0.375	-0.05	0.05	3.6899e+07
379	0.375	-0.05	0.075	3.7981e+07
380	0.375	-0.05	0.1	3.7363e+07
381	0.375	-0.025	0.	1.8867e+07
382	0.375	-0.025	0.025	1.9048e+07
383	0.375	-0.025	0.05	1.8609e+07
384	0.375	-0.025	0.075	1.8662e+07
385	0.375	-0.025	0.1	1.8609e+07
386	0.375	0.	0.	2.5816e+06
387	0.375	0.	0.025	2.6072e+06
388	0.375	0.	0.05	2.6090e+06
389	0.375	0.	0.075	2.6038e+06
390	0.375	0.	0.1	2.5687e+06
391	0.375	0.025	0.	1.8503e+07
392	0.375	0.025	0.025	1.8859e+07
393	0.375	0.025	0.05	1.8780e+07
394	0.375	0.025	0.075	1.8920e+07
395	0.375	0.025	0.1	1.8957e+07
396	0.375	0.05	0.	3.7541e+07
397	0.375	0.05	0.025	3.7728e+07
398	0.375	0.05	0.05	3.7569e+07
399	0.375	0.05	0.075	3.7659e+07
400	0.375	0.05	0.1	3.7289e+07
401	0.4	-0.05	0.	3.5948e+07
402	0.4	-0.05	0.025	3.6057e+07
403	0.4	-0.05	0.05	3.6236e+07
404	0.4	-0.05	0.075	3.5887e+07
405	0.4	-0.05	0.1	3.6150e+07
406	0.4	-0.025	0.	1.8067e+07
407	0.4	-0.025	0.025	1.8088e+07
408	0.4	-0.025	0.05	1.8225e+07
409	0.4	-0.025	0.075	1.7816e+07
410	0.4	-0.025	0.1	1.7917e+07
411	0.4	0.	0.	2.5673e+06
412	0.4	0.	0.025	2.5496e+06
413	0.4	0.	0.05	2.5840e+06
414	0.4	0.	0.075	2.6137e+06
415	0.4	0.	0.1	2.5922e+06
416	0.4	0.025	0.	1.8134e+07
417	0.4	0.025	0.025	1.8263e+07
418	0.4	0.025	0.05	1.8297e+07
419	0.4	0.025	0.075	1.8095e+07
420	0.4	0.025	0.1	1.8301e+07
421	0.4	0.05	0.	3.6027e+07
