Node Number	X Location (m)	Y Location (m)	Z Location (m)	Directional Deformation (m)
1	0.	-0.05	0.	-0.0000e+00
2	0.	-0.05	0.025	-0.0000e+00
3	0.	-0.05	0.05	-0.0000e+00
4	0.	-0.05	0.075	-0.0000e+00
5	0.	-0.05	0.1	-0.0000e+00
6	0.	-0.025	0.	-0.0000e+00
7	0.	-0.025	0.025	-0.0000e+00
8	0.	-0.025	0.05	-0.0000e+00
9	0.	-0.025	0.075	-0.0000e+00
10	0.	-0.025	0.1	-0.0000e+00
11	0.	0.	0.	-0.0000e+00
12	0.	0.	0.025	-0.0000e+00
13	0.	0.	0.05	-0.0000e+00
14	0.	0.	0.075	-0.0000e+00
15	0.	0.	0.1	-0.0000e+00
16	0.	0.025	0.	-0.0000e+00
17	0.	0.025	0.025	-0.0000e+00
18	0.	0.025	0.05	-0.0000e+00
19	0.	0.025	0.075	-0.0000e+00
20	0.	0.025	0.1	-0.0000e+00
21	0.	0.05	0.	-0.0000e+00
22	0.	0.05	0.025	-0.0000e+00
23	0.	0.05	0.05	-0.0000e+00
24	0.	0.05	0.075	-0.0000e+00
25	0.	0.05	0.1	-0.0000e+00
26	0.025	-0.05	0.	-1.8715e-06
27	0.025	-0.05	0.025	-1.8588e-06
28	0.025	-0.05	0.05	-1.8597e-06
29	0.025	-0.05	0.075	-1.8694e-06
30	0.025	-0.05	0.1	-1.8643e-06
31	0.025	-0.025	0.	-1.8529e-06
32	0.025	-0.025	0.025	-1.8546e-06
33	0.025	-0.025	0.05	-1.8631e-06
34	0.025	-0.025	0.075	-1.8547e-06
35	0.025	-0.025	0.1	-1.8436e-06
36	0.025	0.	0.	-1.8590e-06
37	0.025	0.	0.025	-1.8484e-06
38	0.025	0.	0.05	-1.8714e-06
39	0.025	0.	0.075	-1.8607e-06
40	0.025	0.	0.1	-1.8526e-06
41	0.025	0.025	0.	-1.8542e-06
42	0.025	0.025	0.025	-1.8453e-06
43	0.025	0.025	0.05	-1.8512e-06
44	0.025	0.025	0.075	-1.8669e-06
45	0.025	0.025	0.1	-1.8760e-06
46	0.025	0.05	0.	-1.8648e-06
47	0.025	0.05	0.025	-1.8587e-06
48	0.025	0.05	0.05	-1.8562e-06
49	0.025	0.05	0.075	-1.8523e-06
50	0.025	0.05	0.1	-1.8747e-06
51	0.05	-0.05	0.	-7.3694e-06
52	0.05	-0.05	0.025	-7.4374e-06
53	0.05	-0.05	0.05	-7.4161e-06
54	0.05	-0.05	0.075	-7.3236e-06
55	0.05	-0.05	0.1	-7.3554e-06
56	0.05	-0.025	0.	-7.3553e-06
57	0.05	-0.025	0.025	-7.3726e-06
58	0.05	-0.025	0.05	-7.3732e-06
59	0.05	-0.025	0.075	-7.4634e-06
60	0.05	-0.025	0.1	-7.3432e-06
61	0.05	0.	0.	-7.3818e-06
62	0.05	0.	0.025	-7.3932e-06
63	0.05	0.	0.05	-7.3750e-06
64	0.05	0.	0.075	-7.3783e-06
65	0.05	0.	0.1	-7.3442e-06
66	0.05	0.025	0.	-7.3781e-06
67	0.05	0.025	0.025	-7.3901e-06
68	0.05	0.025	0.05	-7.3847e-06
69	0.05	0.025	0.075	-7.3918e-06
70	0.05	0.025	0.1	-7.4167e-06
71	0.05	0.05	0.	-7.4026e-06
72	0.05	0.05	0.025	-7.3771e-06
73	0.05	0.05	0.05	-7.3404e-06
74	0.05	0.05	0.075	-7.3573e-06
75	0.05	0.05	0.1	-7.3685e-06
76	0.075	-0.05	0.	-1.6470e-05
77	0.075	-0.05	0.025	-1.6422e-05
78	0.075	-0.05	0.05	-1.6392e-05
79	0.075	-0.05	0.075	-1.6375e-05
80	0.075	-0.05	0.1	-1.6344e-05
81	0.075	-0.025	0.	-1.6438e-05
82	0.075	-0.025	0.025	-1.6356e-05
83	0.075	-0.025	0.05	-1.6387e-05
84	0.075	-0.025	0.075	-1.6427e-05
85	0.075	-0.025	0.1	-1.6365e-05
86	0.075	0.	0.	-1.6478e-05
87	0.075	0.	0.025	-1.6502e-05
88	0.075	0.	0.05	-1.6417e-05
89	0.075	0.	0.075	-1.6424e-05
90	0.075	0.	0.1	-1.6488e-05
91	0.075	0.025	0.	-1.6406e-05
92	0.075	0.025	0.025	-1.6402e-05
93	0.075	0.025	0.05	-1.6532e-05
94	0.075	0.025	0.075	-1.6511e-05
95	0.075	0.025	0.1	-1.6493e-05
96	0.075	0.05	0.	-1.6514e-05
97	0.075	0.05	0.025	-1.6323e-05
98	0.075	0.05	0.05	-1.6542e-05
99	0.075	0.05	0.075	-1.6479e-05
100	0.075	0.05	0.1	-1.6520e-05
101	0.1	-0.05	0.	-2.9045e-05
102	0.1	-0.05	0.025	-2.9006e-05
103	0.1	-0.05	0.05	-2.8968e-05
104	0.1	-0.05	0.075	-2.9043e-05
105	0.1	-0.05	0.1	-2.8964e-05
106	0.1	-0.025	0.	-2.9101e-05
107	0.1	-0.025	0.025	-2.8816e-05
108	0.1	-0.025	0.05	-2.8937e-05
109	0.1	-0.025	0.075	-2.9237e-05
110	0.1	-0.025	0.1	-2.8927e-05
111	0.1	0.	0.	-2.8972e-05
112	0.1	0.	0.025	-2.8898e-05
113	0.1	0.	0.05	-2.9039e-05
114	0.1	0.	0.075	-2.8915e-05
115	0.1	0.	0.1	-2.8978e-05
116	0.1	0.025	0.	-2.9098e-05
117	0.1	0.025	0.025	-2.8919e-05
118	0.1	0.025	0.05	-2.9091e-05
119	0.1	0.025	0.075	-2.9095e-05
120	0.1	0.025	0.1	-2.9122e-05
121	0.1	0.05	0.	-2.9016e-05
122	0.1	0.05	0.025	-2.9376e-05
123	0.1	0.05	0.05	-2.9122e-05
124	0.1	0.05	0.075	-2.9038e-05
125	0.1	0.05	0.1	-2.8898e-05
