Node Number	X Location (m)	Y Location (m)	Z Location (m)	Directional Deformation (m)
1	0.	-0.05	0.	-0.0000e+00
2	0.	-0.05	0.025	-0.0000e+00
3	0.	-0.05	0.05	-0.0000e+00
4	0.	-0.05	0.075	-0.0000e+00
5	0.	-0.05	0.1	-0.0000e+00
6	0.	-0.025	0.	-0.0000e+00
7	0.	-0.025	0.025	-0.0000e+00
8	0.	-0.025	0.05	-0.0000e+00
9	0.	-0.025	0.075	-0.0000e+00
10	0.	-0.025	0.1	-0.0000e+00
11	0.	0.	0.	-0.0000e+00
12	0.	0.	0.025	-0.0000e+00
13	0.	0.	0.05	-0.0000e+00
14	0.	0.	0.075	-0.0000e+00
15	0.	0.	0.1	-0.0000e+00
16	0.	0.025	0.	-0.0000e+00
17	0.	0.025	0.025	-0.0000e+00
18	0.	0.025	0.05	-0.0000e+00
19	0.	0.025	0.075	-0.0000e+00
20	0.	0.025	0.1	-0.0000e+00
21	0.	0.05	0.	-0.0000e+00
22	0.	0.05	0.025	-0.0000e+00
23	0.	0.05	0.05	-0.0000e+00
24	0.	0.05	0.075	-0.0000e+00
25	0.	0.05	0.1	-0.0000e+00
26	0.025	-0.05	0.	-1.8653e-06
27	0.025	-0.05	0.025	-1.8694e-06
28	0.025	-0.05	0.05	-1.8623e-06
29	0.025	-0.05	0.075	-1.8397e-06
30	0.025	-0.05	0.1	-1.8501e-06
31	0.025	-0.025	0.	-1.8628e-06
32	0.025	-0.025	0.025	-1.8566e-06
33	0.025	-0.025	0.05	-1.8552e-06
34	0.025	-0.025	0.075	-1.8512e-06
35	0.025	-0.025	0.1	-1.8664e-06
36	0.025	0.	0.	-1.8628e-06
37	0.025	0.	0.025	-1.8631e-06
38	0.025	0.	0.05	-1.8547e-06
39	0.025	0.	0.075	-1.8607e-06
40	0.025	0.	0.1	-1.8494e-06
41	0.025	0.025	0.	-1.8584e-06
42	0.025	0.025	0.025	-1.8406e-06
43	0.025	0.025	0.05	-1.8477e-06
44	0.025	0.025	0.075	-1.8570e-06
45	0.025	0.025	0.1	-1.8770e-06
46	0.025	0.05	0.	-1.8460e-06
47	0.025	0.05	0.025	-1.8501e-06
48	0.025	0.05	0.05	-1.8610e-06
49	0.025	0.05	0.075	-1.8725e-06
50	0.025	0.05	0.1	-1.8609e-06
51	0.05	-0.05	0.	-7.3957e-06
52	0.05	-0.05	0.025	-7.3650e-06
53	0.05	-0.05	0.05	-7.3599e-06
54	0.05	-0.05	0.075	-7.3774e-06
55	0.05	-0.05	0.1	-7.3556e-06
56	0.05	-0.025	0.	-7.3964e-06
57	0.05	-0.025	0.025	-7.3276e-06
58	0.05	-0.025	0.05	-7.4013e-06
59	0.05	-0.025	0.075	-7.3762e-06
60	0.05	-0.025	0.1	-7.3687e-06
61	0.05	0.	0.	-7.3265e-06
62	0.05	0.	0.025	-7.3461e-06
63	0.05	0.	0.05	-7.4104e-06
64	0.05	0.	0.075	-7.3688e-06
65	0.05	0.	0.1	-7.3832e-06
66	0.05	0.025	0.	-7.3491e-06
67	0.05	0.025	0.025	-7.3741e-06
68	0.05	0.025	0.05	-7.3345e-06
69	0.05	0.025	0.075	-7.3779e-06
70	0.05	0.025	0.1	-7.3859e-06
71	0.05	0.05	0.	-7.3845e-06
72	0.05	0.05	0.025	-7.3483e-06
73	0.05	0.05	0.05	-7.3649e-06
74	0.05	0.05	0.075	-7.3908e-06
75	0.05	0.05	0.1	-7.3688e-06
76	0.075	-0.05	0.	-1.6434e-05
77	0.075	-0.05	0.025	-1.6578e-05
78	0.075	-0.05	0.05	-1.6391e-05
79	0.075	-0.05	0.075	-1.6524e-05
80	0.075	-0.05	0.1	-1.6377e-05
81	0.075	-0.025	0.	-1.6496e-05
82	0.075	-0.025	0.025	-1.6500e-05
83	0.075	-0.025	0.05	-1.6420e-05
84	0.075	-0.025	0.075	-1.6373e-05
85	0.075	-0.025	0.1	-1.6323e-05
86	0.075	0.	0.	-1.6413e-05
87	0.075	0.	0.025	-1.6488e-05
88	0.075	0.	0.05	-1.6382e-05
89	0.075	0.	0.075	-1.6460e-05
90	0.075	0.	0.1	-1.6356e-05
91	0.075	0.025	0.	-1.6438e-05
92	0.075	0.025	0.025	-1.6378e-05
93	0.075	0.025	0.05	-1.6448e-05
94	0.075	0.025	0.075	-1.6420e-05
95	0.075	0.025	0.1	-1.6375e-05
96	0.075	0.05	0.	-1.6410e-05
97	0.075	0.05	0.025	-1.6392e-05
98	0.075	0.05	0.05	-1.6367e-05
99	0.075	0.05	0.075	-1.6524e-05
100	0.075	0.05	0.1	-1.6429e-05
101	0.1	-0.05	0.	-2.8745e-05
102	0.1	-0.05	0.025	-2.8928e-05
103	0.1	-0.05	0.05	-2.9106e-05
104	0.1	-0.05	0.075	-2.8912e-05
105	0.1	-0.05	0.1	-2.9174e-05
106	0.1	-0.025	0.	-2.8901e-05
107	0.1	-0.025	0.025	-2.9058e-05
108	0.1	-0.025	0.05	-2.9120e-05
109	0.1	-0.025	0.075	-2.9052e-05
110	0.1	-0.025	0.1	-2.8841e-05
111	0.1	0.	0.	-2.8891e-05
112	0.1	0.	0.025	-2.9136e-05
113	0.1	0.	0.05	-2.8907e-05
114	0.1	0.	0.075	-2.9113e-05
115	0.1	0.	0.1	-2.8950e-05
116	0.1	0.025	0.	-2.9016e-05
117	0.1	0.025	0.025	-2.8839e-05
118	0.1	0.025	0.05	-2.8929e-05
119	0.1	0.025	0.075	-2.8898e-05
120	0.1	0.025	0.1	-2.9026e-05
121	0.1	0.05	0.	-2.9011e-05
122	0.1	0.05	0.025	-2.9054e-05
123	0.1	0.05	0.05	-2.8943e-05
124	0.1	0.05	0.075	-2.8892e-05
125	0.1	0.05	0.1	-2.9021e-05
