Node Number	X Location (m)	Y Location (m)	Z Location (m)	Normal Stress (Pa)
1	0.	-0.05	0.	-5.9869e+07
2	0.	-0.05	0.025	-5.9215e+07
3	0.	-0.05	0.05	-6.0013e+07
4	0.	-0.05	0.075	-5.9998e+07
5	0.	-0.05	0.1	-6.0376e+07
6	0.	-0.025	0.	-3.0214e+07
7	0.	-0.025	0.025	-3.0036e+07
8	0.	-0.025	0.05	-2.9910e+07
9	0.	-0.025	0.075	-3.0087e+07
10	0.	-0.025	0.1	-2.9905e+07
11	0.	0.	0.	0.0000e+00
12	0.	0.	0.025	0.0000e+00
13	0.	0.	0.05	0.0000e+00
14	0.	0.	0.075	0.0000e+00
15	0.	0.	0.1	0.0000e+00
16	0.	0.025	0.	2.9828e+07
17	0.	0.025	0.025	3.0175e+07
18	0.	0.025	0.05	3.0126e+07
19	0.	0.025	0.075	3.0018e+07
20	0.	0.025	0.1	2.9863e+07
21	0.	0.05	0.	5.9691e+07
22	0.	0.05	0.025	5.9806e+07
23	0.	0.05	0.05	6.0195e+07
24	0.	0.05	0.075	5.9656e+07
25	0.	0.05	0.1	6.0158e+07
26	0.025	-0.05	0.	-5.8064e+07
27	0.025	-0.05	0.025	-5.8428e+07
28	0.025	-0.05	0.05	-5.8538e+07
29	0.025	-0.05	0.075	-5.9358e+07
30	0.025	-0.05	0.1	-5.8017e+07
31	0.025	-0.025	0.	-2.9508e+07
32	0.025	-0.025	0.025	-2.9276e+07
33	0.025	-0.025	0.05	-2.9322e+07
34	0.025	-0.025	0.075	-2.9271e+07
35	0.025	-0.025	0.1	-2.9328e+07
36	0.025	0.	0.	0.0000e+00
37	0.025	0.	0.025	0.0000e+00
38	0.025	0.	0.05	0.0000e+00
39	0.025	0.	0.075	0.0000e+00
40	0.025	0.	0.1	0.0000e+00
41	0.025	0.025	0.	2.9239e+07
42	0.025	0.025	0.025	2.9062e+07
43	0.025	0.025	0.05	2.9330e+07
44	0.025	0.025	0.075	2.9504e+07
45	0.025	0.025	0.1	2.9236e+07
46	0.025	0.05	0.	5.8431e+07
47	0.025	0.05	0.025	5.8109e+07
48	0.025	0.05	0.05	5.8420e+07
49	0.025	0.05	0.075	5.7941e+07
50	0.025	0.05	0.1	5.8180e+07
51	0.05	-0.05	0.	-5.7078e+07
52	0.05	-0.05	0.025	-5.7451e+07
53	0.05	-0.05	0.05	-5.7961e+07
54	0.05	-0.05	0.075	-5.6799e+07
55	0.05	-0.05	0.1	-5.7491e+07
56	0.05	-0.025	0.	-2.8542e+07
57	0.05	-0.025	0.025	-2.8474e+07
58	0.05	-0.025	0.05	-2.8574e+07
59	0.05	-0.025	0.075	-2.8511e+07
60	0.05	-0.025	0.1	-2.8519e+07
61	0.05	0.	0.	0.0000e+00
62	0.05	0.	0.025	0.0000e+00
63	0.05	0.	0.05	0.0000e+00
64	0.05	0.	0.075	0.0000e+00
65	0.05	0.	0.1	0.0000e+00
66	0.05	0.025	0.	2.8398e+07
67	0.05	0.025	0.025	2.8501e+07
68	0.05	0.025	0.05	2.8636e+07
69	0.05	0.025	0.075	2.8531e+07
70	0.05	0.025	0.1	2.8388e+07
71	0.05	0.05	0.	5.7419e+07
72	0.05	0.05	0.025	5.7540e+07
73	0.05	0.05	0.05	5.7169e+07
74	0.05	0.05	0.075	5.7333e+07
75	0.05	0.05	0.1	5.7425e+07
76	0.075	-0.05	0.	-5.5876e+07
77	0.075	-0.05	0.025	-5.5704e+07
78	0.075	-0.05	0.05	-5.5699e+07
79	0.075	-0.05	0.075	-5.5673e+07
80	0.075	-0.05	0.1	-5.5135e+07
81	0.075	-0.025	0.	-2.7867e+07
82	0.075	-0.025	0.025	-2.7524e+07
83	0.075	-0.025	0.05	-2.7618e+07
84	0.075	-0.025	0.075	-2.7967e+07
85	0.075	-0.025	0.1	-2.7890e+07
86	0.075	0.	0.	0.0000e+00
87	0.075	0.	0.025	0.0000e+00
88	0.075	0.	0.05	0.0000e+00
89	0.075	0.	0.075	0.0000e+00
90	0.075	0.	0.1	0.0000e+00
91	0.075	0.025	0.	2.7763e+07
92	0.075	0.025	0.025	2.7939e+07
93	0.075	0.025	0.05	2.7690e+07
94	0.075	0.025	0.075	2.7809e+07
95	0.075	0.025	0.1	2.7585e+07
96	0.075	0.05	0.	5.5650e+07
97	0.075	0.05	0.025	5.5501e+07
98	0.075	0.05	0.05	5.5250e+07
99	0.075	0.05	0.075	5.5421e+07
100	0.075	0.05	0.1	5.5439e+07
101	0.1	-0.05	0.	-5.3912e+07
102	0.1	-0.05	0.025	-5.4574e+07
103	0.1	-0.05	0.05	-5.3968e+07
104	0.1	-0.05	0.075	-5.3921e+07
105	0.1	-0.05	0.1	-5.3320e+07
106	0.1	-0.025	0.	-2.6855e+07
107	0.1	-0.025	0.025	-2.6957e+07
108	0.1	-0.025	0.05	-2.6889e+07
109	0.1	-0.025	0.075	-2.7224e+07
110	0.1	-0.025	0.1	-2.6973e+07
111	0.1	0.	0.	0.0000e+00
112	0.1	0.	0.025	0.0000e+00
113	0.1	0.	0.05	0.0000e+00
114	0.1	0.	0.075	0.0000e+00
115	0.1	0.	0.1	0.0000e+00
116	0.1	0.025	0.	2.7278e+07
117	0.1	0.025	0.025	2.6624e+07
118	0.1	0.025	0.05	2.6676e+07
119	0.1	0.025	0.075	2.6912e+07
120	0.1	0.025	0.1	2.7002e+07
121	0.1	0.05	0.	5.4224e+07
122	0.1	0.05	0.025	5.4153e+07
123	0.1	0.05	0.05	5.3876e+07
124	0.1	0.05	0.075	5.4330e+07
125	0.1	0.05	0.1	5.4334e+07
126	0.125	-0.05	0.	-5.2558e+07
127	0.125	-0.05	0.025	-5.2803e+07
128	0.125	-0.05	0.05	-5.2586e+07
129	0.125	-0.05	0.075	-5.2323e+07
130	0.125	-0.05	0.1	-5.2720e+07
131	0.125	-0.025	0.	-2.6267e+07
132	0.125	-0.025	0.025	-2.6250e+07
133	0.125	-0.025	0.05	-2.6482e+07
134	0.125	-0.025	0.075	-2.5864e+07
135	0.125	-0.025	0.1	-2.6027e+07
136	0.125	0.	0.	0.0000e+00
137	0.125	0.	0.025	0.0000e+00
138	0.125	0.	0.05	0.0000e+00
139	0.125	0.	0.075	0.0000e+00
140	0.125	0.	0.1	0.0000e+00
141	0.125	0.025	0.	2.6114e+07
142	0.125	0.025	0.025	2.6637e+07
143	0.125	0.025	0.05	2.6534e+07
144	0.125	0.025	0.075	2.6185e+07
145	0.125	0.025	0.1	2.6193e+07
146	0.125	0.05	0.	5.2138e+07
147	0.125	0.05	0.025	5.1899e+07
148	0.125	0.05	0.05	5.2463e+07
149	0.125	0.05	0.075	5.2186e+07
150	0.125	0.05	0.1	5.2473e+07
151	0.15	-0.05	0.	-5.0510e+07
152	0.15	-0.05	0.025	-5.0767e+07
153	0.15	-0.05	0.05	-5.1045e+07
154	0.15	-0.05	0.075	-5.1112e+07
155	0.15	-0.05	0.1	-5.1128e+07
156	0.15	-0.025	0.	-2.5298e+07
157	0.15	-0.025	0.025	-2.5631e+07
158	0.15	-0.025	0.05	-2.5378e+07
159	0.15	-0.025	0.075	-2.5597e+07
160	0.15	-0.025	0.1	-2.5498e+07
161	0.15	0.	0.	0.0000e+00
162	0.15	0.	0.025	0.0000e+00
163	0.15	0.	0.05	0.0000e+00
164	0.15	0.	0.075	0.0000e+00
165	0.15	0.	0.1	0.0000e+00
166	0.15	0.025	0.	2.5734e+07
167	0.15	0.025	0.025	2.5654e+07
168	0.15	0.025	0.05	2.5461e+07
169	0.15	0.025	0.075	2.5615e+07
170	0.15	0.025	0.1	2.5796e+07
171	0.15	0.05	0.	5.1600e+07
172	0.15	0.05	0.025	5.0624e+07
173	0.15	0.05	0.05	5.0716e+07
174	0.15	0.05	0.075	5.1454e+07
175	0.15	0.05	0.1	5.0676e+07
176	0.175	-0.05	0.	-4.9107e+07
177	0.175	-0.05	0.025	-4.9356e+07
178	0.175	-0.05	0.05	-4.9625e+07
179	0.175	-0.05	0.075	-4.9470e+07
180	0.175	-0.05	0.1	-4.9307e+07
181	0.175	-0.025	0.	-2.4650e+07
182	0.175	-0.025	0.025	-2.4644e+07
183	0.175	-0.025	0.05	-2.4619e+07
184	0.175	-0.025	0.075	-2.5089e+07
185	0.175	-0.025	0.1	-2.4794e+07
186	0.175	0.	0.	0.0000e+00
187	0.175	0.	0.025	0.0000e+00
188	0.175	0.	0.05	0.0000e+00
189	0.175	0.	0.075	0.0000e+00
190	0.175	0.	0.1	0.0000e+00
191	0.175	0.025	0.	2.4545e+07
192	0.175	0.025	0.025	2.4481e+07
193	0.175	0.025	0.05	2.4416e+07
194	0.175	0.025	0.075	2.4572e+07
195	0.175	0.025	0.1	2.4947e+07
196	0.175	0.05	0.	4.9487e+07
197	0.175	0.05	0.025	4.9883e+07
198	0.175	0.05	0.05	4.9622e+07
199	0.175	0.05	0.075	4.9732e+07
200	0.175	0.05	0.1	4.9232e+07
201	0.2	-0.05	0.	-4.8151e+07
202	0.2	-0.05	0.025	-4.8210e+07
203	0.2	-0.05	0.05	-4.7834e+07
204	0.2	-0.05	0.075	-4.8161e+07
205	0.2	-0.05	0.1	-4.8163e+07
206	0.2	-0.025	0.	-2.3921e+07
207	0.2	-0.025	0.025	-2.3838e+07
208	0.2	-0.025	0.05	-2.3829e+07
209	0.2	-0.025	0.075	-2.4012e+07
210	0.2	-0.025	0.1	-2.4047e+07
211	0.2	0.	0.	0.0000e+00
212	0.2	0.	0.025	0.0000e+00
213	0.2	0.	0.05	0.0000e+00
214	0.2	0.	0.075	0.0000e+00
215	0.2	0.	0.1	0.0000e+00
216	0.2	0.025	0.	2.4184e+07
217	0.2	0.025	0.025	2.3856e+07
218	0.2	0.025	0.05	2.4242e+07
219	0.2	0.025	0.075	2.3924e+07
220	0.2	0.025	0.1	2.4150e+07
221	0.2	0.05	0.	4.8020e+07
222	0.2	0.05	0.025	4.7881e+07
223	0.2	0.05	0.05	4.7479e+07
224	0.2	0.05	0.075	4.7951e+07
225	0.2	0.05	0.1	4.7551e+07
226	0.225	-0.05	0.	-4.6770e+07
227	0.225	-0.05	0.025	-4.6923e+07
228	0.225	-0.05	0.05	-4.6278e+07
229	0.225	-0.05	0.075	-4.6584e+07
230	0.225	-0.05	0.1	-4.6298e+07
231	0.225	-0.025	0.	-2.3162e+07
232	0.225	-0.025	0.025	-2.3358e+07
233	0.225	-0.025	0.05	-2.3245e+07
234	0.225	-0.025	0.075	-2.3493e+07
235	0.225	-0.025	0.1	-2.3183e+07
236	0.225	0.	0.	0.0000e+00
237	0.225	0.	0.025	0.0000e+00
238	0.225	0.	0.05	0.0000e+00
239	0.225	0.	0.075	0.0000e+00
240	0.225	0.	0.1	0.0000e+00
241	0.225	0.025	0.	2.3234e+07
242	0.225	0.025	0.025	2.3133e+07
243	0.225	0.025	0.05	2.3342e+07
244	0.225	0.025	0.075	2.3341e+07
245	0.225	0.025	0.1	2.3333e+07
246	0.225	0.05	0.	4.6929e+07
247	0.225	0.05	0.025	4.6904e+07
248	0.225	0.05	0.05	4.6395e+07
249	0.225	0.05	0.075	4.6604e+07
250	0.225	0.05	0.1	4.6326e+07
251	0.25	-0.05	0.	-4.5006e+07
252	0.25	-0.05	0.025	-4.4838e+07
253	0.25	-0.05	0.05	-4.5437e+07
254	0.25	-0.05	0.075	-4.5098e+07
255	0.25	-0.05	0.1	-4.4941e+07
256	0.25	-0.025	0.	-2.2661e+07
257	0.25	-0.025	0.025	-2.2207e+07
258	0.25	-0.025	0.05	-2.2228e+07
259	0.25	-0.025	0.075	-2.2607e+07
260	0.25	-0.025	0.1	-2.2508e+07
261	0.25	0.	0.	0.0000e+00
262	0.25	0.	0.025	0.0000e+00
263	0.25	0.	0.05	0.0000e+00
264	0.25	0.	0.075	0.0000e+00
265	0.25	0.	0.1	0.0000e+00
266	0.25	0.025	0.	2.2523e+07
267	0.25	0.025	0.025	2.2441e+07
268	0.25	0.025	0.05	2.2447e+07
269	0.25	0.025	0.075	2.2213e+07
270	0.25	0.025	0.1	2.2535e+07
271	0.25	0.05	0.	4.5228e+07
272	0.25	0.05	0.025	4.4575e+07
273	0.25	0.05	0.05	4.4821e+07
274	0.25	0.05	0.075	4.4687e+07
275	0.25	0.05	0.1	4.4739e+07
276	0.275	-0.05	0.	-4.3514e+07
277	0.275	-0.05	0.025	-4.2956e+07
278	0.275	-0.05	0.05	-4.3660e+07
279	0.275	-0.05	0.075	-4.3697e+07
280	0.275	-0.05	0.1	-4.3434e+07
281	0.275	-0.025	0.	-2.1426e+07
282	0.275	-0.025	0.025	-2.1620e+07
283	0.275	-0.025	0.05	-2.1911e+07
284	0.275	-0.025	0.075	-2.1387e+07
285	0.275	-0.025	0.1	-2.1705e+07
286	0.275	0.	0.	0.0000e+00
287	0.275	0.	0.025	0.0000e+00
288	0.275	0.	0.05	0.0000e+00
289	0.275	0.	0.075	0.0000e+00
290	0.275	0.	0.1	0.0000e+00
291	0.275	0.025	0.	2.1990e+07
292	0.275	0.025	0.025	2.1724e+07
293	0.275	0.025	0.05	2.1799e+07
294	0.275	0.025	0.075	2.1556e+07
295	0.275	0.025	0.1	2.1905e+07
296	0.275	0.05	0.	4.3302e+07
297	0.275	0.05	0.025	4.3354e+07
298	0.275	0.05	0.05	4.3494e+07
299	0.275	0.05	0.075	4.3092e+07
300	0.275	0.05	0.1	4.3560e+07
301	0.3	-0.05	0.	-4.2244e+07
302	0.3	-0.05	0.025	-4.2074e+07
303	0.3	-0.05	0.05	-4.1600e+07
304	0.3	-0.05	0.075	-4.1969e+07
305	0.3	-0.05	0.1	-4.2187e+07
306	0.3	-0.025	0.	-2.0763e+07
307	0.3	-0.025	0.025	-2.0865e+07
308	0.3	-0.025	0.05	-2.1110e+07
309	0.3	-0.025	0.075	-2.1034e+07
310	0.3	-0.025	0.1	-2.1052e+07
311	0.3	0.	0.	0.0000e+00
312	0.3	0.	0.025	0.0000e+00
313	0.3	0.	0.05	0.0000e+00
314	0.3	0.	0.075	0.0000e+00
315	0.3	0.	0.1	0.0000e+00
316	0.3	0.025	0.	2.0899e+07
317	0.3	0.025	0.025	2.1054e+07
318	0.3	0.025	0.05	2.1055e+07
319	0.3	0.025	0.075	2.0934e+07
320	0.3	0.025	0.1	2.0870e+07
321	0.3	0.05	0.	4.2582e+07
