Node Number	X Location (m)	Y Location (m)	Z Location (m)	Normal Stress (Pa)
1	0.	-0.05	0.	-1.7907e+08
2	0.	-0.05	0.025	-1.7992e+08
3	0.	-0.05	0.05	-1.7952e+08
4	0.	-0.05	0.075	-1.8033e+08
5	0.	-0.05	0.1	-1.7904e+08
6	0.	-0.025	0.	-8.9393e+07
7	0.	-0.025	0.025	-9.0395e+07
8	0.	-0.025	0.05	-9.0599e+07
9	0.	-0.025	0.075	-9.0313e+07
10	0.	-0.025	0.1	-8.9650e+07
11	0.	0.	0.	0.0000e+00
12	0.	0.	0.025	0.0000e+00
13	0.	0.	0.05	0.0000e+00
14	0.	0.	0.075	0.0000e+00
15	0.	0.	0.1	0.0000e+00
16	0.	0.025	0.	9.0344e+07
17	0.	0.025	0.025	9.0668e+07
18	0.	0.025	0.05	9.0574e+07
19	0.	0.025	0.075	9.0293e+07
20	0.	0.025	0.1	8.9207e+07
21	0.	0.05	0.	1.8066e+08
22	0.	0.05	0.025	1.8012e+08
23	0.	0.05	0.05	1.7960e+08
24	0.	0.05	0.075	1.8147e+08
25	0.	0.05	0.1	1.7984e+08
26	0.025	-0.05	0.	-1.7494e+08
27	0.025	-0.05	0.025	-1.7668e+08
28	0.025	-0.05	0.05	-1.7507e+08
29	0.025	-0.05	0.075	-1.7489e+08
30	0.025	-0.05	0.1	-1.7431e+08
31	0.025	-0.025	0.	-8.7318e+07
32	0.025	-0.025	0.025	-8.7363e+07
33	0.025	-0.025	0.05	-8.8077e+07
34	0.025	-0.025	0.075	-8.7213e+07
35	0.025	-0.025	0.1	-8.6772e+07
36	0.025	0.	0.	0.0000e+00
37	0.025	0.	0.025	0.0000e+00
38	0.025	0.	0.05	0.0000e+00
39	0.025	0.	0.075	0.0000e+00
40	0.025	0.	0.1	0.0000e+00
41	0.025	0.025	0.	8.8545e+07
42	0.025	0.025	0.025	8.7714e+07
43	0.025	0.025	0.05	8.8280e+07
44	0.025	0.025	0.075	8.7462e+07
45	0.025	0.025	0.1	8.7807e+07
46	0.025	0.05	0.	1.7452e+08
47	0.025	0.05	0.025	1.7464e+08
48	0.025	0.05	0.05	1.7526e+08
49	0.025	0.05	0.075	1.7410e+08
50	0.025	0.05	0.1	1.7567e+08
51	0.05	-0.05	0.	-1.7069e+08
52	0.05	-0.05	0.025	-1.7124e+08
53	0.05	-0.05	0.05	-1.6965e+08
54	0.05	-0.05	0.075	-1.7172e+08
55	0.05	-0.05	0.1	-1.7274e+08
56	0.05	-0.025	0.	-8.6263e+07
57	0.05	-0.025	0.025	-8.6477e+07
58	0.05	-0.025	0.05	-8.5522e+07
59	0.05	-0.025	0.075	-8.5319e+07
60	0.05	-0.025	0.1	-8.5750e+07
61	0.05	0.	0.	0.0000e+00
62	0.05	0.	0.025	0.0000e+00
63	0.05	0.	0.05	0.0000e+00
64	0.05	0.	0.075	0.0000e+00
65	0.05	0.	0.1	0.0000e+00
66	0.05	0.025	0.	8.5239e+07
67	0.05	0.025	0.025	8.5391e+07
68	0.05	0.025	0.05	8.5506e+07
69	0.05	0.025	0.075	8.5512e+07
70	0.05	0.025	0.1	8.6202e+07
71	0.05	0.05	0.	1.6968e+08
72	0.05	0.05	0.025	1.7084e+08
73	0.05	0.05	0.05	1.7010e+08
74	0.05	0.05	0.075	1.7229e+08
75	0.05	0.05	0.1	1.7042e+08
76	0.075	-0.05	0.	-1.6616e+08
77	0.075	-0.05	0.025	-1.6755e+08
78	0.075	-0.05	0.05	-1.6782e+08
79	0.075	-0.05	0.075	-1.6797e+08
80	0.075	-0.05	0.1	-1.6486e+08
81	0.075	-0.025	0.	-8.3491e+07
82	0.075	-0.025	0.025	-8.3385e+07
83	0.075	-0.025	0.05	-8.3224e+07
84	0.075	-0.025	0.075	-8.3283e+07
85	0.075	-0.025	0.1	-8.3892e+07
86	0.075	0.	0.	0.0000e+00
87	0.075	0.	0.025	0.0000e+00
88	0.075	0.	0.05	0.0000e+00
89	0.075	0.	0.075	0.0000e+00
90	0.075	0.	0.1	0.0000e+00
91	0.075	0.025	0.	8.2443e+07
92	0.075	0.025	0.025	8.3118e+07
93	0.075	0.025	0.05	8.3279e+07
94	0.075	0.025	0.075	8.3901e+07
95	0.075	0.025	0.1	8.2995e+07
96	0.075	0.05	0.	1.6699e+08
97	0.075	0.05	0.025	1.6502e+08
98	0.075	0.05	0.05	1.6758e+08
99	0.075	0.05	0.075	1.6657e+08
100	0.075	0.05	0.1	1.6622e+08
101	0.1	-0.05	0.	-1.6407e+08
102	0.1	-0.05	0.025	-1.6304e+08
103	0.1	-0.05	0.05	-1.6099e+08
104	0.1	-0.05	0.075	-1.6189e+08
