Node Number	X Location (m)	Y Location (m)	Z Location (m)	Directional Deformation (m)
1	0.	-0.05	0.	-0.0000e+00
2	0.	-0.05	0.025	-0.0000e+00
3	0.	-0.05	0.05	-0.0000e+00
4	0.	-0.05	0.075	-0.0000e+00
5	0.	-0.05	0.1	-0.0000e+00
6	0.	-0.025	0.	-0.0000e+00
7	0.	-0.025	0.025	-0.0000e+00
8	0.	-0.025	0.05	-0.0000e+00
9	0.	-0.025	0.075	-0.0000e+00
10	0.	-0.025	0.1	-0.0000e+00
11	0.	0.	0.	-0.0000e+00
12	0.	0.	0.025	-0.0000e+00
13	0.	0.	0.05	-0.0000e+00
14	0.	0.	0.075	-0.0000e+00
15	0.	0.	0.1	-0.0000e+00
16	0.	0.025	0.	-0.0000e+00
17	0.	0.025	0.025	-0.0000e+00
18	0.	0.025	0.05	-0.0000e+00
19	0.	0.025	0.075	-0.0000e+00
20	0.	0.025	0.1	-0.0000e+00
21	0.	0.05	0.	-0.0000e+00
22	0.	0.05	0.025	-0.0000e+00
23	0.	0.05	0.05	-0.0000e+00
24	0.	0.05	0.075	-0.0000e+00
25	0.	0.05	0.1	-0.0000e+00
26	0.025	-0.05	0.	-1.8498e-06
27	0.025	-0.05	0.025	-1.8591e-06
28	0.025	-0.05	0.05	-1.8598e-06
29	0.025	-0.05	0.075	-1.8433e-06
30	0.025	-0.05	0.1	-1.8526e-06
31	0.025	-0.025	0.	-1.8624e-06
32	0.025	-0.025	0.025	-1.8623e-06
33	0.025	-0.025	0.05	-1.8508e-06
34	0.025	-0.025	0.075	-1.8606e-06
35	0.025	-0.025	0.1	-1.8670e-06
36	0.025	0.	0.	-1.8652e-06
37	0.025	0.	0.025	-1.8587e-06
38	0.025	0.	0.05	-1.8559e-06
39	0.025	0.	0.075	-1.8547e-06
40	0.025	0.	0.1	-1.8629e-06
41	0.025	0.025	0.	-1.8608e-06
42	0.025	0.025	0.025	-1.8641e-06
43	0.025	0.025	0.05	-1.8604e-06
44	0.025	0.025	0.075	-1.8655e-06
45	0.025	0.025	0.1	-1.8601e-06
46	0.025	0.05	0.	-1.8652e-06
47	0.025	0.05	0.025	-1.8659e-06
48	0.025	0.05	0.05	-1.8534e-06
49	0.025	0.05	0.075	-1.8459e-06
50	0.025	0.05	0.1	-1.8709e-06
51	0.05	-0.05	0.	-7.3826e-06
52	0.05	-0.05	0.025	-7.3244e-06
53	0.05	-0.05	0.05	-7.3539e-06
54	0.05	-0.05	0.075	-7.3978e-06
55	0.05	-0.05	0.1	-7.3667e-06
56	0.05	-0.025	0.	-7.3599e-06
57	0.05	-0.025	0.025	-7.4163e-06
58	0.05	-0.025	0.05	-7.3441e-06
59	0.05	-0.025	0.075	-7.3515e-06
60	0.05	-0.025	0.1	-7.3812e-06
61	0.05	0.	0.	-7.3865e-06
62	0.05	0.	0.025	-7.3896e-06
63	0.05	0.	0.05	-7.4019e-06
64	0.05	0.	0.075	-7.3809e-06
65	0.05	0.	0.1	-7.3894e-06
66	0.05	0.025	0.	-7.3674e-06
67	0.05	0.025	0.025	-7.3768e-06
68	0.05	0.025	0.05	-7.3782e-06
69	0.05	0.025	0.075	-7.3813e-06
70	0.05	0.025	0.1	-7.3978e-06
71	0.05	0.05	0.	-7.3914e-06
72	0.05	0.05	0.025	-7.3763e-06
73	0.05	0.05	0.05	-7.3511e-06
74	0.05	0.05	0.075	-7.3770e-06
75	0.05	0.05	0.1	-7.3742e-06
76	0.075	-0.05	0.	-1.6466e-05
77	0.075	-0.05	0.025	-1.6598e-05
78	0.075	-0.05	0.05	-1.6419e-05
79	0.075	-0.05	0.075	-1.6481e-05
80	0.075	-0.05	0.1	-1.6523e-05
81	0.075	-0.025	0.	-1.6460e-05
82	0.075	-0.025	0.025	-1.6607e-05
83	0.075	-0.025	0.05	-1.6428e-05
84	0.075	-0.025	0.075	-1.6474e-05
85	0.075	-0.025	0.1	-1.6401e-05
86	0.075	0.	0.	-1.6430e-05
87	0.075	0.	0.025	-1.6470e-05
88	0.075	0.	0.05	-1.6509e-05
89	0.075	0.	0.075	-1.6474e-05
90	0.075	0.	0.1	-1.6536e-05
91	0.075	0.025	0.	-1.6447e-05
92	0.075	0.025	0.025	-1.6431e-05
93	0.075	0.025	0.05	-1.6631e-05
94	0.075	0.025	0.075	-1.6479e-05
95	0.075	0.025	0.1	-1.6406e-05
96	0.075	0.05	0.	-1.6407e-05
97	0.075	0.05	0.025	-1.6391e-05
98	0.075	0.05	0.05	-1.6515e-05
99	0.075	0.05	0.075	-1.6429e-05
100	0.075	0.05	0.1	-1.6462e-05
101	0.1	-0.05	0.	-2.8993e-05
102	0.1	-0.05	0.025	-2.9085e-05
103	0.1	-0.05	0.05	-2.8902e-05
104	0.1	-0.05	0.075	-2.8875e-05
105	0.1	-0.05	0.1	-2.9026e-05
106	0.1	-0.025	0.	-2.9070e-05
107	0.1	-0.025	0.025	-2.9039e-05
108	0.1	-0.025	0.05	-2.8906e-05
109	0.1	-0.025	0.075	-2.9079e-05
110	0.1	-0.025	0.1	-2.8914e-05
111	0.1	0.	0.	-2.8940e-05
112	0.1	0.	0.025	-2.8891e-05
113	0.1	0.	0.05	-2.9151e-05
114	0.1	0.	0.075	-2.9073e-05
115	0.1	0.	0.1	-2.9070e-05
116	0.1	0.025	0.	-2.9145e-05
117	0.1	0.025	0.025	-2.9326e-05
118	0.1	0.025	0.05	-2.8802e-05
119	0.1	0.025	0.075	-2.8914e-05
120	0.1	0.025	0.1	-2.8929e-05
121	0.1	0.05	0.	-2.8901e-05
122	0.1	0.05	0.025	-2.8875e-05
123	0.1	0.05	0.05	-2.8965e-05
124	0.1	0.05	0.075	-2.8859e-05
125	0.1	0.05	0.1	-2.9039e-05
