Node Number	X Location (m)	Y Location (m)	Z Location (m)	Directional Deformation (m)
1	0.	-0.05	0.	-0.0000e+00
2	0.	-0.05	0.025	-0.0000e+00
3	0.	-0.05	0.05	-0.0000e+00
4	0.	-0.05	0.075	-0.0000e+00
5	0.	-0.05	0.1	-0.0000e+00
6	0.	-0.025	0.	-0.0000e+00
7	0.	-0.025	0.025	-0.0000e+00
8	0.	-0.025	0.05	-0.0000e+00
9	0.	-0.025	0.075	-0.0000e+00
10	0.	-0.025	0.1	-0.0000e+00
11	0.	0.	0.	-0.0000e+00
12	0.	0.	0.025	-0.0000e+00
13	0.	0.	0.05	-0.0000e+00
14	0.	0.	0.075	-0.0000e+00
15	0.	0.	0.1	-0.0000e+00
16	0.	0.025	0.	-0.0000e+00
17	0.	0.025	0.025	-0.0000e+00
18	0.	0.025	0.05	-0.0000e+00
19	0.	0.025	0.075	-0.0000e+00
20	0.	0.025	0.1	-0.0000e+00
21	0.	0.05	0.	-0.0000e+00
22	0.	0.05	0.025	-0.0000e+00
23	0.	0.05	0.05	-0.0000e+00
24	0.	0.05	0.075	-0.0000e+00
25	0.	0.05	0.1	-0.0000e+00
26	0.025	-0.05	0.	-7.3747e-06
27	0.025	-0.05	0.025	-7.4218e-06
28	0.025	-0.05	0.05	-7.4447e-06
29	0.025	-0.05	0.075	-7.4634e-06
30	0.025	-0.05	0.1	-7.4330e-06
31	0.025	-0.025	0.	-7.4194e-06
32	0.025	-0.025	0.025	-7.4170e-06
33	0.025	-0.025	0.05	-7.4236e-06
34	0.025	-0.025	0.075	-7.4561e-06
35	0.025	-0.025	0.1	-7.4479e-06
36	0.025	0.	0.	-7.4368e-06
37	0.025	0.	0.025	-7.4562e-06
38	0.025	0.	0.05	-7.4375e-06
39	0.025	0.	0.075	-7.3978e-06
40	0.025	0.	0.1	-7.4045e-06
41	0.025	0.025	0.	-7.4554e-06
42	0.025	0.025	0.025	-7.3966e-06
43	0.025	0.025	0.05	-7.4262e-06
44	0.025	0.025	0.075	-7.4341e-06
45	0.025	0.025	0.1	-7.4068e-06
46	0.025	0.05	0.	-7.3879e-06
47	0.025	0.05	0.025	-7.4026e-06
48	0.025	0.05	0.05	-7.3837e-06
49	0.025	0.05	0.075	-7.4557e-06
50	0.025	0.05	0.1	-7.4493e-06
51	0.05	-0.05	0.	-2.9410e-05
52	0.05	-0.05	0.025	-2.9339e-05
53	0.05	-0.05	0.05	-2.9638e-05
54	0.05	-0.05	0.075	-2.9552e-05
55	0.05	-0.05	0.1	-2.9427e-05
56	0.05	-0.025	0.	-2.9640e-05
57	0.05	-0.025	0.025	-2.9516e-05
58	0.05	-0.025	0.05	-2.9538e-05
59	0.05	-0.025	0.075	-2.9377e-05
60	0.05	-0.025	0.1	-2.9321e-05
61	0.05	0.	0.	-2.9315e-05
62	0.05	0.	0.025	-2.9746e-05
63	0.05	0.	0.05	-2.9402e-05
64	0.05	0.	0.075	-2.9508e-05
65	0.05	0.	0.1	-2.9554e-05
66	0.05	0.025	0.	-2.9498e-05
67	0.05	0.025	0.025	-2.9482e-05
68	0.05	0.025	0.05	-2.9479e-05
69	0.05	0.025	0.075	-2.9557e-05
70	0.05	0.025	0.1	-2.9377e-05
71	0.05	0.05	0.	-2.9448e-05
72	0.05	0.05	0.025	-2.9228e-05
73	0.05	0.05	0.05	-2.9280e-05
74	0.05	0.05	0.075	-2.9347e-05
75	0.05	0.05	0.1	-2.9601e-05
76	0.075	-0.05	0.	-6.5741e-05
77	0.075	-0.05	0.025	-6.5996e-05
78	0.075	-0.05	0.05	-6.5914e-05
79	0.075	-0.05	0.075	-6.5881e-05
80	0.075	-0.05	0.1	-6.5564e-05
81	0.075	-0.025	0.	-6.5832e-05
82	0.075	-0.025	0.025	-6.5879e-05
83	0.075	-0.025	0.05	-6.6392e-05
84	0.075	-0.025	0.075	-6.5721e-05
85	0.075	-0.025	0.1	-6.6005e-05
86	0.075	0.	0.	-6.5780e-05
87	0.075	0.	0.025	-6.5628e-05
88	0.075	0.	0.05	-6.6041e-05
89	0.075	0.	0.075	-6.6310e-05
90	0.075	0.	0.1	-6.5881e-05
91	0.075	0.025	0.	-6.5633e-05
92	0.075	0.025	0.025	-6.5936e-05
93	0.075	0.025	0.05	-6.5886e-05
94	0.075	0.025	0.075	-6.6396e-05
95	0.075	0.025	0.1	-6.6008e-05
96	0.075	0.05	0.	-6.5567e-05
97	0.075	0.05	0.025	-6.6148e-05
98	0.075	0.05	0.05	-6.6017e-05
99	0.075	0.05	0.075	-6.6059e-05
100	0.075	0.05	0.1	-6.5930e-05
101	0.1	-0.05	0.	-1.1647e-04
102	0.1	-0.05	0.025	-1.1620e-04
103	0.1	-0.05	0.05	-1.1588e-04
104	0.1	-0.05	0.075	-1.1606e-04
105	0.1	-0.05	0.1	-1.1595e-04
106	0.1	-0.025	0.	-1.1616e-04
107	0.1	-0.025	0.025	-1.1604e-04
108	0.1	-0.025	0.05	-1.1585e-04
109	0.1	-0.025	0.075	-1.1592e-04
110	0.1	-0.025	0.1	-1.1600e-04
111	0.1	0.	0.	-1.1517e-04
112	0.1	0.	0.025	-1.1648e-04
113	0.1	0.	0.05	-1.1616e-04
114	0.1	0.	0.075	-1.1572e-04
115	0.1	0.	0.1	-1.1627e-04
116	0.1	0.025	0.	-1.1576e-04
117	0.1	0.025	0.025	-1.1576e-04
118	0.1	0.025	0.05	-1.1617e-04
119	0.1	0.025	0.075	-1.1666e-04
120	0.1	0.025	0.1	-1.1613e-04
121	0.1	0.05	0.	-1.1564e-04
122	0.1	0.05	0.025	-1.1584e-04
123	0.1	0.05	0.05	-1.1639e-04
124	0.1	0.05	0.075	-1.1619e-04
125	0.1	0.05	0.1	-1.1645e-04
