Node Number	X Location (m)	Y Location (m)	Z Location (m)	Equivalent (von-Mises) Stress (Pa)
1	0.	-0.05	0.	8.3424e+07
2	0.	-0.05	0.025	8.3994e+07
3	0.	-0.05	0.05	8.2841e+07
4	0.	-0.05	0.075	8.3154e+07
5	0.	-0.05	0.1	8.4704e+07
6	0.	-0.025	0.	1.1359e+08
7	0.	-0.025	0.025	1.1301e+08
8	0.	-0.025	0.05	1.1423e+08
9	0.	-0.025	0.075	1.1354e+08
10	0.	-0.025	0.1	1.1359e+08
11	0.	0.	0.	1.4488e+08
12	0.	0.	0.025	1.4268e+08
13	0.	0.	0.05	1.4298e+08
14	0.	0.	0.075	1.4420e+08
15	0.	0.	0.1	1.4514e+08
16	0.	0.025	0.	1.7573e+08
17	0.	0.025	0.025	1.7309e+08
18	0.	0.025	0.05	1.7532e+08
19	0.	0.025	0.075	1.7292e+08
20	0.	0.025	0.1	1.7655e+08
21	0.	0.05	0.	2.0215e+08
22	0.	0.05	0.025	2.0617e+08
23	0.	0.05	0.05	2.0293e+08
24	0.	0.05	0.075	2.0729e+08
25	0.	0.05	0.1	2.0497e+08
26	0.025	-0.05	0.	8.4805e+07
27	0.025	-0.05	0.025	8.5143e+07
28	0.025	-0.05	0.05	8.6034e+07
29	0.025	-0.05	0.075	8.6220e+07
30	0.025	-0.05	0.1	8.5452e+07
31	0.025	-0.025	0.	1.1481e+08
32	0.025	-0.025	0.025	1.1546e+08
33	0.025	-0.025	0.05	1.1489e+08
34	0.025	-0.025	0.075	1.1358e+08
35	0.025	-0.025	0.1	1.1402e+08
36	0.025	0.	0.	1.4429e+08
37	0.025	0.	0.025	1.4542e+08
38	0.025	0.	0.05	1.4589e+08
39	0.025	0.	0.075	1.4492e+08
40	0.025	0.	0.1	1.4435e+08
41	0.025	0.025	0.	1.7430e+08
42	0.025	0.025	0.025	1.7234e+08
43	0.025	0.025	0.05	1.7305e+08
44	0.025	0.025	0.075	1.7212e+08
45	0.025	0.025	0.1	1.7153e+08
46	0.025	0.05	0.	2.0304e+08
47	0.025	0.05	0.025	2.0280e+08
48	0.025	0.05	0.05	2.0361e+08
49	0.025	0.05	0.075	2.0338e+08
50	0.025	0.05	0.1	2.0289e+08
51	0.05	-0.05	0.	8.7387e+07
52	0.05	-0.05	0.025	8.6970e+07
53	0.05	-0.05	0.05	8.7287e+07
54	0.05	-0.05	0.075	8.6495e+07
55	0.05	-0.05	0.1	8.7257e+07
56	0.05	-0.025	0.	1.1613e+08
57	0.05	-0.025	0.025	1.1490e+08
58	0.05	-0.025	0.05	1.1556e+08
59	0.05	-0.025	0.075	1.1494e+08
60	0.05	-0.025	0.1	1.1503e+08
61	0.05	0.	0.	1.4273e+08
62	0.05	0.	0.025	1.4548e+08
63	0.05	0.	0.05	1.4525e+08
64	0.05	0.	0.075	1.4464e+08
65	0.05	0.	0.1	1.4630e+08
66	0.05	0.025	0.	1.7225e+08
67	0.05	0.025	0.025	1.7670e+08
68	0.05	0.025	0.05	1.7220e+08
69	0.05	0.025	0.075	1.7286e+08
70	0.05	0.025	0.1	1.7196e+08
71	0.05	0.05	0.	2.0160e+08
72	0.05	0.05	0.025	2.0234e+08
73	0.05	0.05	0.05	2.0082e+08
74	0.05	0.05	0.075	2.0386e+08
75	0.05	0.05	0.1	2.0138e+08
76	0.075	-0.05	0.	8.8692e+07
77	0.075	-0.05	0.025	8.7856e+07
78	0.075	-0.05	0.05	8.8796e+07
79	0.075	-0.05	0.075	8.8405e+07
80	0.075	-0.05	0.1	8.8069e+07
81	0.075	-0.025	0.	1.1554e+08
82	0.075	-0.025	0.025	1.1875e+08
83	0.075	-0.025	0.05	1.1602e+08
84	0.075	-0.025	0.075	1.1491e+08
85	0.075	-0.025	0.1	1.1562e+08
86	0.075	0.	0.	1.4396e+08
87	0.075	0.	0.025	1.4465e+08
88	0.075	0.	0.05	1.4466e+08
89	0.075	0.	0.075	1.4480e+08
90	0.075	0.	0.1	1.4328e+08
91	0.075	0.025	0.	1.7223e+08
92	0.075	0.025	0.025	1.7056e+08
93	0.075	0.025	0.05	1.7091e+08
94	0.075	0.025	0.075	1.7050e+08
95	0.075	0.025	0.1	1.7013e+08
96	0.075	0.05	0.	2.0120e+08
97	0.075	0.05	0.025	2.0060e+08
98	0.075	0.05	0.05	2.0106e+08
99	0.075	0.05	0.075	1.9956e+08
100	0.075	0.05	0.1	2.0074e+08
101	0.1	-0.05	0.	8.8732e+07
102	0.1	-0.05	0.025	9.0621e+07
103	0.1	-0.05	0.05	9.0128e+07
104	0.1	-0.05	0.075	9.0452e+07
105	0.1	-0.05	0.1	9.0274e+07
106	0.1	-0.025	0.	1.1609e+08
107	0.1	-0.025	0.025	1.1561e+08
108	0.1	-0.025	0.05	1.1635e+08
109	0.1	-0.025	0.075	1.1755e+08
110	0.1	-0.025	0.1	1.1766e+08
111	0.1	0.	0.	1.4245e+08
112	0.1	0.	0.025	1.4289e+08
113	0.1	0.	0.05	1.4319e+08
114	0.1	0.	0.075	1.4361e+08
115	0.1	0.	0.1	1.4245e+08
116	0.1	0.025	0.	1.6907e+08
117	0.1	0.025	0.025	1.6989e+08
118	0.1	0.025	0.05	1.7113e+08
119	0.1	0.025	0.075	1.6940e+08
120	0.1	0.025	0.1	1.7085e+08
121	0.1	0.05	0.	1.9968e+08
122	0.1	0.05	0.025	1.9594e+08
123	0.1	0.05	0.05	1.9767e+08
124	0.1	0.05	0.075	1.9962e+08
125	0.1	0.05	0.1	1.9734e+08
126	0.125	-0.05	0.	9.1080e+07
127	0.125	-0.05	0.025	9.2352e+07
128	0.125	-0.05	0.05	9.1276e+07
129	0.125	-0.05	0.075	9.2308e+07
130	0.125	-0.05	0.1	9.1814e+07
131	0.125	-0.025	0.	1.1744e+08
132	0.125	-0.025	0.025	1.1822e+08
133	0.125	-0.025	0.05	1.1807e+08
134	0.125	-0.025	0.075	1.1873e+08
135	0.125	-0.025	0.1	1.1725e+08
136	0.125	0.	0.	1.4407e+08
137	0.125	0.	0.025	1.4395e+08
138	0.125	0.	0.05	1.4483e+08
139	0.125	0.	0.075	1.4284e+08
140	0.125	0.	0.1	1.4520e+08
141	0.125	0.025	0.	1.7090e+08
142	0.125	0.025	0.025	1.6847e+08
143	0.125	0.025	0.05	1.7191e+08
144	0.125	0.025	0.075	1.7330e+08
145	0.125	0.025	0.1	1.7163e+08
146	0.125	0.05	0.	1.9874e+08
147	0.125	0.05	0.025	1.9663e+08
148	0.125	0.05	0.05	1.9389e+08
149	0.125	0.05	0.075	1.9360e+08
150	0.125	0.05	0.1	1.9690e+08
151	0.15	-0.05	0.	9.2560e+07
152	0.15	-0.05	0.025	9.2320e+07
153	0.15	-0.05	0.05	9.2953e+07
154	0.15	-0.05	0.075	9.3458e+07
155	0.15	-0.05	0.1	9.1919e+07
156	0.15	-0.025	0.	1.1809e+08
157	0.15	-0.025	0.025	1.1995e+08
158	0.15	-0.025	0.05	1.1750e+08
159	0.15	-0.025	0.075	1.1934e+08
160	0.15	-0.025	0.1	1.1806e+08
161	0.15	0.	0.	1.4465e+08
162	0.15	0.	0.025	1.4529e+08
163	0.15	0.	0.05	1.4488e+08
164	0.15	0.	0.075	1.4507e+08
165	0.15	0.	0.1	1.4270e+08
166	0.15	0.025	0.	1.7102e+08
167	0.15	0.025	0.025	1.6835e+08
168	0.15	0.025	0.05	1.6986e+08
169	0.15	0.025	0.075	1.6986e+08
170	0.15	0.025	0.1	1.7017e+08
171	0.15	0.05	0.	1.9553e+08
172	0.15	0.05	0.025	1.9368e+08
173	0.15	0.05	0.05	1.9289e+08
174	0.15	0.05	0.075	1.9636e+08
175	0.15	0.05	0.1	1.9529e+08
176	0.175	-0.05	0.	9.5369e+07
177	0.175	-0.05	0.025	9.4466e+07
178	0.175	-0.05	0.05	9.3438e+07
179	0.175	-0.05	0.075	9.5230e+07
180	0.175	-0.05	0.1	9.4220e+07
181	0.175	-0.025	0.	1.1959e+08
182	0.175	-0.025	0.025	1.1865e+08
183	0.175	-0.025	0.05	1.2083e+08
184	0.175	-0.025	0.075	1.1843e+08
185	0.175	-0.025	0.1	1.1894e+08
186	0.175	0.	0.	1.4415e+08
187	0.175	0.	0.025	1.4277e+08
188	0.175	0.	0.05	1.4440e+08
189	0.175	0.	0.075	1.4588e+08
190	0.175	0.	0.1	1.4346e+08
191	0.175	0.025	0.	1.6929e+08
192	0.175	0.025	0.025	1.6505e+08
193	0.175	0.025	0.05	1.6871e+08
194	0.175	0.025	0.075	1.6834e+08
195	0.175	0.025	0.1	1.6766e+08
196	0.175	0.05	0.	1.9517e+08
197	0.175	0.05	0.025	1.9299e+08
198	0.175	0.05	0.05	1.9323e+08
199	0.175	0.05	0.075	1.9292e+08
200	0.175	0.05	0.1	1.9053e+08
201	0.2	-0.05	0.	9.5131e+07
202	0.2	-0.05	0.025	9.6738e+07
203	0.2	-0.05	0.05	9.4380e+07
204	0.2	-0.05	0.075	9.5411e+07
205	0.2	-0.05	0.1	9.5693e+07
206	0.2	-0.025	0.	1.2169e+08
207	0.2	-0.025	0.025	1.2075e+08
208	0.2	-0.025	0.05	1.1948e+08
209	0.2	-0.025	0.075	1.2127e+08
210	0.2	-0.025	0.1	1.1930e+08
211	0.2	0.	0.	1.4519e+08
212	0.2	0.	0.025	1.4246e+08
213	0.2	0.	0.05	1.4526e+08
214	0.2	0.	0.075	1.4356e+08
215	0.2	0.	0.1	1.4284e+08
216	0.2	0.025	0.	1.6772e+08
217	0.2	0.025	0.025	1.6838e+08
218	0.2	0.025	0.05	1.6735e+08
219	0.2	0.025	0.075	1.6876e+08
220	0.2	0.025	0.1	1.6723e+08
221	0.2	0.05	0.	1.9295e+08
222	0.2	0.05	0.025	1.9268e+08
223	0.2	0.05	0.05	1.9191e+08
224	0.2	0.05	0.075	1.9132e+08
225	0.2	0.05	0.1	1.9223e+08
226	0.225	-0.05	0.	9.7929e+07
227	0.225	-0.05	0.025	9.9108e+07
228	0.225	-0.05	0.05	9.8233e+07
229	0.225	-0.05	0.075	9.8261e+07
230	0.225	-0.05	0.1	9.9909e+07
231	0.225	-0.025	0.	1.2126e+08
232	0.225	-0.025	0.025	1.2123e+08
233	0.225	-0.025	0.05	1.2145e+08
234	0.225	-0.025	0.075	1.1979e+08
235	0.225	-0.025	0.1	1.2034e+08
236	0.225	0.	0.	1.4344e+08
237	0.225	0.	0.025	1.4477e+08
238	0.225	0.	0.05	1.4382e+08
239	0.225	0.	0.075	1.4418e+08
240	0.225	0.	0.1	1.4528e+08
241	0.225	0.025	0.	1.6842e+08
242	0.225	0.025	0.025	1.6704e+08
243	0.225	0.025	0.05	1.6636e+08
244	0.225	0.025	0.075	1.6878e+08
245	0.225	0.025	0.1	1.6830e+08
246	0.225	0.05	0.	1.8805e+08
247	0.225	0.05	0.025	1.9002e+08
248	0.225	0.05	0.05	1.9075e+08
249	0.225	0.05	0.075	1.9169e+08
250	0.225	0.05	0.1	1.9189e+08
251	0.25	-0.05	0.	9.9225e+07
252	0.25	-0.05	0.025	9.9464e+07
253	0.25	-0.05	0.05	9.9051e+07
254	0.25	-0.05	0.075	9.8466e+07
255	0.25	-0.05	0.1	9.8793e+07
256	0.25	-0.025	0.	1.2153e+08
257	0.25	-0.025	0.025	1.2148e+08
258	0.25	-0.025	0.05	1.1968e+08
259	0.25	-0.025	0.075	1.2113e+08
260	0.25	-0.025	0.1	1.2157e+08
261	0.25	0.	0.	1.4370e+08
262	0.25	0.	0.025	1.4374e+08
263	0.25	0.	0.05	1.4459e+08
264	0.25	0.	0.075	1.4278e+08
265	0.25	0.	0.1	1.4215e+08
266	0.25	0.025	0.	1.6605e+08
267	0.25	0.025	0.025	1.6753e+08
268	0.25	0.025	0.05	1.6876e+08
269	0.25	0.025	0.075	1.6755e+08
270	0.25	0.025	0.1	1.6456e+08
271	0.25	0.05	0.	1.8865e+08
272	0.25	0.05	0.025	1.8939e+08
273	0.25	0.05	0.05	1.8927e+08
274	0.25	0.05	0.075	1.8982e+08
275	0.25	0.05	0.1	1.8761e+08
276	0.275	-0.05	0.	1.0055e+08
277	0.275	-0.05	0.025	1.0084e+08
278	0.275	-0.05	0.05	1.0116e+08
279	0.275	-0.05	0.075	9.9852e+07
280	0.275	-0.05	0.1	1.0022e+08
281	0.275	-0.025	0.	1.1962e+08
282	0.275	-0.025	0.025	1.2166e+08
283	0.275	-0.025	0.05	1.2175e+08
284	0.275	-0.025	0.075	1.2127e+08
285	0.275	-0.025	0.1	1.2243e+08
286	0.275	0.	0.	1.4396e+08
287	0.275	0.	0.025	1.4142e+08
288	0.275	0.	0.05	1.4427e+08
289	0.275	0.	0.075	1.4295e+08
290	0.275	0.	0.1	1.4458e+08
291	0.275	0.025	0.	1.6406e+08
292	0.275	0.025	0.025	1.6580e+08
293	0.275	0.025	0.05	1.6539e+08
294	0.275	0.025	0.075	1.6616e+08
295	0.275	0.025	0.1	1.6593e+08
296	0.275	0.05	0.	1.8712e+08
297	0.275	0.05	0.025	1.8520e+08
298	0.275	0.05	0.05	1.8528e+08
299	0.275	0.05	0.075	1.8662e+08
300	0.275	0.05	0.1	1.8749e+08
301	0.3	-0.05	0.	1.0150e+08
302	0.3	-0.05	0.025	1.0251e+08
303	0.3	-0.05	0.05	1.0177e+08
304	0.3	-0.05	0.075	1.0121e+08
305	0.3	-0.05	0.1	1.0177e+08
306	0.3	-0.025	0.	1.2324e+08
307	0.3	-0.025	0.025	1.2334e+08
308	0.3	-0.025	0.05	1.2486e+08
309	0.3	-0.025	0.075	1.2236e+08
310	0.3	-0.025	0.1	1.2294e+08
311	0.3	0.	0.	1.4451e+08
312	0.3	0.	0.025	1.4400e+08
313	0.3	0.	0.05	1.4345e+08
314	0.3	0.	0.075	1.4224e+08
315	0.3	0.	0.1	1.4343e+08
316	0.3	0.025	0.	1.6359e+08
317	0.3	0.025	0.025	1.6273e+08
318	0.3	0.025	0.05	1.6396e+08
319	0.3	0.025	0.075	1.6363e+08
320	0.3	0.025	0.1	1.6578e+08
321	0.3	0.05	0.	1.8689e+08
322	0.3	0.05	0.025	1.8466e+08
323	0.3	0.05	0.05	1.8561e+08
324	0.3	0.05	0.075	1.8323e+08
325	0.3	0.05	0.1	1.8526e+08
326	0.325	-0.05	0.	1.0383e+08
327	0.325	-0.05	0.025	1.0418e+08
328	0.325	-0.05	0.05	1.0291e+08
329	0.325	-0.05	0.075	1.0437e+08
330	0.325	-0.05	0.1	1.0225e+08
331	0.325	-0.025	0.	1.2253e+08
332	0.325	-0.025	0.025	1.2447e+08
333	0.325	-0.025	0.05	1.2542e+08
334	0.325	-0.025	0.075	1.2425e+08
335	0.325	-0.025	0.1	1.2373e+08
