Node Number	X Location (m)	Y Location (m)	Z Location (m)	Directional Deformation (m)
1	0.	-0.05	0.	-0.0000e+00
2	0.	-0.05	0.025	-0.0000e+00
3	0.	-0.05	0.05	-0.0000e+00
4	0.	-0.05	0.075	-0.0000e+00
5	0.	-0.05	0.1	-0.0000e+00
6	0.	-0.025	0.	-0.0000e+00
7	0.	-0.025	0.025	-0.0000e+00
8	0.	-0.025	0.05	-0.0000e+00
9	0.	-0.025	0.075	-0.0000e+00
10	0.	-0.025	0.1	-0.0000e+00
11	0.	0.	0.	-0.0000e+00
12	0.	0.	0.025	-0.0000e+00
13	0.	0.	0.05	-0.0000e+00
14	0.	0.	0.075	-0.0000e+00
15	0.	0.	0.1	-0.0000e+00
16	0.	0.025	0.	-0.0000e+00
17	0.	0.025	0.025	-0.0000e+00
18	0.	0.025	0.05	-0.0000e+00
19	0.	0.025	0.075	-0.0000e+00
20	0.	0.025	0.1	-0.0000e+00
21	0.	0.05	0.	-0.0000e+00
22	0.	0.05	0.025	-0.0000e+00
23	0.	0.05	0.05	-0.0000e+00
24	0.	0.05	0.075	-0.0000e+00
25	0.	0.05	0.1	-0.0000e+00
26	0.025	-0.05	0.	-3.7134e-06
27	0.025	-0.05	0.025	-3.7113e-06
28	0.025	-0.05	0.05	-3.7051e-06
29	0.025	-0.05	0.075	-3.6956e-06
30	0.025	-0.05	0.1	-3.7083e-06
31	0.025	-0.025	0.	-3.7322e-06
32	0.025	-0.025	0.025	-3.7124e-06
33	0.025	-0.025	0.05	-3.7136e-06
34	0.025	-0.025	0.075	-3.7133e-06
35	0.025	-0.025	0.1	-3.7373e-06
36	0.025	0.	0.	-3.7049e-06
37	0.025	0.	0.025	-3.7229e-06
38	0.025	0.	0.05	-3.7177e-06
39	0.025	0.	0.075	-3.7198e-06
40	0.025	0.	0.1	-3.7224e-06
41	0.025	0.025	0.	-3.7196e-06
42	0.025	0.025	0.025	-3.7305e-06
43	0.025	0.025	0.05	-3.7183e-06
44	0.025	0.025	0.075	-3.7447e-06
45	0.025	0.025	0.1	-3.7194e-06
46	0.025	0.05	0.	-3.6934e-06
47	0.025	0.05	0.025	-3.7282e-06
48	0.025	0.05	0.05	-3.7246e-06
49	0.025	0.05	0.075	-3.7192e-06
50	0.025	0.05	0.1	-3.7149e-06
51	0.05	-0.05	0.	-1.4625e-05
52	0.05	-0.05	0.025	-1.4635e-05
53	0.05	-0.05	0.05	-1.4847e-05
54	0.05	-0.05	0.075	-1.4715e-05
55	0.05	-0.05	0.1	-1.4807e-05
56	0.05	-0.025	0.	-1.4655e-05
57	0.05	-0.025	0.025	-1.4688e-05
58	0.05	-0.025	0.05	-1.4790e-05
59	0.05	-0.025	0.075	-1.4744e-05
60	0.05	-0.025	0.1	-1.4782e-05
61	0.05	0.	0.	-1.4749e-05
62	0.05	0.	0.025	-1.4738e-05
63	0.05	0.	0.05	-1.4710e-05
64	0.05	0.	0.075	-1.4680e-05
65	0.05	0.	0.1	-1.4833e-05
66	0.05	0.025	0.	-1.4842e-05
67	0.05	0.025	0.025	-1.4689e-05
68	0.05	0.025	0.05	-1.4685e-05
69	0.05	0.025	0.075	-1.4729e-05
70	0.05	0.025	0.1	-1.4770e-05
71	0.05	0.05	0.	-1.4739e-05
72	0.05	0.05	0.025	-1.4779e-05
73	0.05	0.05	0.05	-1.4747e-05
74	0.05	0.05	0.075	-1.4743e-05
75	0.05	0.05	0.1	-1.4892e-05
76	0.075	-0.05	0.	-3.2837e-05
77	0.075	-0.05	0.025	-3.3122e-05
78	0.075	-0.05	0.05	-3.3097e-05
79	0.075	-0.05	0.075	-3.2973e-05
80	0.075	-0.05	0.1	-3.2653e-05
81	0.075	-0.025	0.	-3.2910e-05
82	0.075	-0.025	0.025	-3.2839e-05
83	0.075	-0.025	0.05	-3.2909e-05
84	0.075	-0.025	0.075	-3.2766e-05
85	0.075	-0.025	0.1	-3.3006e-05
86	0.075	0.	0.	-3.3036e-05
87	0.075	0.	0.025	-3.3060e-05
88	0.075	0.	0.05	-3.2856e-05
89	0.075	0.	0.075	-3.2767e-05
90	0.075	0.	0.1	-3.2953e-05
91	0.075	0.025	0.	-3.3137e-05
92	0.075	0.025	0.025	-3.2915e-05
93	0.075	0.025	0.05	-3.2966e-05
94	0.075	0.025	0.075	-3.2875e-05
95	0.075	0.025	0.1	-3.2840e-05
96	0.075	0.05	0.	-3.2993e-05
97	0.075	0.05	0.025	-3.2892e-05
98	0.075	0.05	0.05	-3.2959e-05
99	0.075	0.05	0.075	-3.2973e-05
100	0.075	0.05	0.1	-3.2952e-05
101	0.1	-0.05	0.	-5.8129e-05
102	0.1	-0.05	0.025	-5.7802e-05
103	0.1	-0.05	0.05	-5.7788e-05
104	0.1	-0.05	0.075	-5.7990e-05
105	0.1	-0.05	0.1	-5.7996e-05
106	0.1	-0.025	0.	-5.7879e-05
107	0.1	-0.025	0.025	-5.8056e-05
108	0.1	-0.025	0.05	-5.8211e-05
109	0.1	-0.025	0.075	-5.8276e-05
110	0.1	-0.025	0.1	-5.8328e-05
111	0.1	0.	0.	-5.7695e-05
112	0.1	0.	0.025	-5.7730e-05
113	0.1	0.	0.05	-5.7933e-05
114	0.1	0.	0.075	-5.8019e-05
115	0.1	0.	0.1	-5.7945e-05
116	0.1	0.025	0.	-5.7872e-05
117	0.1	0.025	0.025	-5.7929e-05
118	0.1	0.025	0.05	-5.8112e-05
119	0.1	0.025	0.075	-5.7692e-05
120	0.1	0.025	0.1	-5.8544e-05
121	0.1	0.05	0.	-5.8005e-05
122	0.1	0.05	0.025	-5.8244e-05
123	0.1	0.05	0.05	-5.7865e-05
124	0.1	0.05	0.075	-5.8133e-05
125	0.1	0.05	0.1	-5.8023e-05
