Node Number	X Location (m)	Y Location (m)	Z Location (m)	Directional Deformation (m)
1	0.	-0.05	0.	-0.0000e+00
2	0.	-0.05	0.025	-0.0000e+00
3	0.	-0.05	0.05	-0.0000e+00
4	0.	-0.05	0.075	-0.0000e+00
5	0.	-0.05	0.1	-0.0000e+00
6	0.	-0.025	0.	-0.0000e+00
7	0.	-0.025	0.025	-0.0000e+00
8	0.	-0.025	0.05	-0.0000e+00
9	0.	-0.025	0.075	-0.0000e+00
10	0.	-0.025	0.1	-0.0000e+00
11	0.	0.	0.	-0.0000e+00
12	0.	0.	0.025	-0.0000e+00
13	0.	0.	0.05	-0.0000e+00
14	0.	0.	0.075	-0.0000e+00
15	0.	0.	0.1	-0.0000e+00
16	0.	0.025	0.	-0.0000e+00
17	0.	0.025	0.025	-0.0000e+00
18	0.	0.025	0.05	-0.0000e+00
19	0.	0.025	0.075	-0.0000e+00
20	0.	0.025	0.1	-0.0000e+00
21	0.	0.05	0.	-0.0000e+00
22	0.	0.05	0.025	-0.0000e+00
23	0.	0.05	0.05	-0.0000e+00
24	0.	0.05	0.075	-0.0000e+00
25	0.	0.05	0.1	-0.0000e+00
26	0.025	-0.05	0.	-7.4330e-06
27	0.025	-0.05	0.025	-7.4811e-06
28	0.025	-0.05	0.05	-7.4160e-06
29	0.025	-0.05	0.075	-7.4274e-06
30	0.025	-0.05	0.1	-7.3952e-06
31	0.025	-0.025	0.	-7.4272e-06
32	0.025	-0.025	0.025	-7.4119e-06
33	0.025	-0.025	0.05	-7.4833e-06
34	0.025	-0.025	0.075	-7.4774e-06
35	0.025	-0.025	0.1	-7.4394e-06
36	0.025	0.	0.	-7.4514e-06
37	0.025	0.	0.025	-7.4195e-06
38	0.025	0.	0.05	-7.3620e-06
39	0.025	0.	0.075	-7.4148e-06
40	0.025	0.	0.1	-7.4598e-06
41	0.025	0.025	0.	-7.4505e-06
42	0.025	0.025	0.025	-7.4258e-06
43	0.025	0.025	0.05	-7.4595e-06
44	0.025	0.025	0.075	-7.4235e-06
45	0.025	0.025	0.1	-7.4035e-06
46	0.025	0.05	0.	-7.4595e-06
47	0.025	0.05	0.025	-7.4193e-06
48	0.025	0.05	0.05	-7.4680e-06
49	0.025	0.05	0.075	-7.3781e-06
50	0.025	0.05	0.1	-7.4206e-06
51	0.05	-0.05	0.	-2.9570e-05
52	0.05	-0.05	0.025	-2.9558e-05
53	0.05	-0.05	0.05	-2.9474e-05
54	0.05	-0.05	0.075	-2.9534e-05
55	0.05	-0.05	0.1	-2.9517e-05
56	0.05	-0.025	0.	-2.9324e-05
57	0.05	-0.025	0.025	-2.9457e-05
58	0.05	-0.025	0.05	-2.9527e-05
59	0.05	-0.025	0.075	-2.9560e-05
60	0.05	-0.025	0.1	-2.9492e-05
61	0.05	0.	0.	-2.9435e-05
62	0.05	0.	0.025	-2.9343e-05
63	0.05	0.	0.05	-2.9589e-05
64	0.05	0.	0.075	-2.9576e-05
65	0.05	0.	0.1	-2.9616e-05
66	0.05	0.025	0.	-2.9373e-05
67	0.05	0.025	0.025	-2.9514e-05
68	0.05	0.025	0.05	-2.9418e-05
69	0.05	0.025	0.075	-2.9505e-05
70	0.05	0.025	0.1	-2.9843e-05
71	0.05	0.05	0.	-2.9607e-05
72	0.05	0.05	0.025	-2.9411e-05
73	0.05	0.05	0.05	-2.9470e-05
74	0.05	0.05	0.075	-2.9457e-05
75	0.05	0.05	0.1	-2.9515e-05
76	0.075	-0.05	0.	-6.5411e-05
77	0.075	-0.05	0.025	-6.5898e-05
78	0.075	-0.05	0.05	-6.5255e-05
79	0.075	-0.05	0.075	-6.5372e-05
80	0.075	-0.05	0.1	-6.6339e-05
81	0.075	-0.025	0.	-6.5718e-05
82	0.075	-0.025	0.025	-6.6188e-05
83	0.075	-0.025	0.05	-6.5599e-05
84	0.075	-0.025	0.075	-6.5259e-05
85	0.075	-0.025	0.1	-6.5536e-05
86	0.075	0.	0.	-6.6520e-05
87	0.075	0.	0.025	-6.5441e-05
88	0.075	0.	0.05	-6.6280e-05
89	0.075	0.	0.075	-6.5903e-05
90	0.075	0.	0.1	-6.5844e-05
91	0.075	0.025	0.	-6.5615e-05
92	0.075	0.025	0.025	-6.5575e-05
93	0.075	0.025	0.05	-6.5961e-05
94	0.075	0.025	0.075	-6.6160e-05
95	0.075	0.025	0.1	-6.5864e-05
96	0.075	0.05	0.	-6.6007e-05
97	0.075	0.05	0.025	-6.5700e-05
98	0.075	0.05	0.05	-6.6385e-05
99	0.075	0.05	0.075	-6.5875e-05
100	0.075	0.05	0.1	-6.6348e-05
101	0.1	-0.05	0.	-1.1555e-04
102	0.1	-0.05	0.025	-1.1598e-04
103	0.1	-0.05	0.05	-1.1650e-04
104	0.1	-0.05	0.075	-1.1607e-04
105	0.1	-0.05	0.1	-1.1624e-04
106	0.1	-0.025	0.	-1.1555e-04
107	0.1	-0.025	0.025	-1.1581e-04
108	0.1	-0.025	0.05	-1.1559e-04
109	0.1	-0.025	0.075	-1.1596e-04
110	0.1	-0.025	0.1	-1.1591e-04
111	0.1	0.	0.	-1.1575e-04
112	0.1	0.	0.025	-1.1629e-04
113	0.1	0.	0.05	-1.1551e-04
114	0.1	0.	0.075	-1.1500e-04
115	0.1	0.	0.1	-1.1573e-04
116	0.1	0.025	0.	-1.1700e-04
117	0.1	0.025	0.025	-1.1624e-04
118	0.1	0.025	0.05	-1.1561e-04
119	0.1	0.025	0.075	-1.1621e-04
120	0.1	0.025	0.1	-1.1594e-04
121	0.1	0.05	0.	-1.1618e-04
122	0.1	0.05	0.025	-1.1641e-04
123	0.1	0.05	0.05	-1.1609e-04
124	0.1	0.05	0.075	-1.1606e-04
125	0.1	0.05	0.1	-1.1669e-04
