Node Number	X Location (m)	Y Location (m)	Z Location (m)	Normal Stress (Pa)
1	0.	-0.05	0.	1.6886e+08
2	0.	-0.05	0.025	1.6759e+08
3	0.	-0.05	0.05	1.6659e+08
4	0.	-0.05	0.075	1.6547e+08
5	0.	-0.05	0.1	1.6891e+08
6	0.	-0.025	0.	2.2682e+08
7	0.	-0.025	0.025	2.2630e+08
8	0.	-0.025	0.05	2.2887e+08
9	0.	-0.025	0.075	2.2910e+08
10	0.	-0.025	0.1	2.2692e+08
11	0.	0.	0.	2.8958e+08
12	0.	0.	0.025	2.9155e+08
13	0.	0.	0.05	2.9033e+08
14	0.	0.	0.075	2.9006e+08
15	0.	0.	0.1	2.8854e+08
16	0.	0.025	0.	3.4707e+08
17	0.	0.025	0.025	3.4788e+08
18	0.	0.025	0.05	3.4892e+08
19	0.	0.025	0.075	3.4537e+08
20	0.	0.025	0.1	3.4639e+08
21	0.	0.05	0.	4.0450e+08
22	0.	0.05	0.025	4.0858e+08
23	0.	0.05	0.05	4.0820e+08
24	0.	0.05	0.075	4.0640e+08
25	0.	0.05	0.1	4.1001e+08
26	0.025	-0.05	0.	1.6993e+08
27	0.025	-0.05	0.025	1.7029e+08
28	0.025	-0.05	0.05	1.7180e+08
29	0.025	-0.05	0.075	1.7195e+08
30	0.025	-0.05	0.1	1.7018e+08
31	0.025	-0.025	0.	2.2982e+08
32	0.025	-0.025	0.025	2.2843e+08
33	0.025	-0.025	0.05	2.2923e+08
34	0.025	-0.025	0.075	2.2970e+08
35	0.025	-0.025	0.1	2.3027e+08
36	0.025	0.	0.	2.8855e+08
37	0.025	0.	0.025	2.8847e+08
38	0.025	0.	0.05	2.8614e+08
39	0.025	0.	0.075	2.8867e+08
40	0.025	0.	0.1	2.8895e+08
41	0.025	0.025	0.	3.4793e+08
42	0.025	0.025	0.025	3.4500e+08
43	0.025	0.025	0.05	3.4840e+08
44	0.025	0.025	0.075	3.4376e+08
45	0.025	0.025	0.1	3.4560e+08
46	0.025	0.05	0.	4.0433e+08
47	0.025	0.05	0.025	4.0193e+08
48	0.025	0.05	0.05	4.0429e+08
49	0.025	0.05	0.075	4.0554e+08
50	0.025	0.05	0.1	4.0056e+08
51	0.05	-0.05	0.	1.7359e+08
52	0.05	-0.05	0.025	1.7217e+08
53	0.05	-0.05	0.05	1.7613e+08
54	0.05	-0.05	0.075	1.7422e+08
55	0.05	-0.05	0.1	1.7413e+08
56	0.05	-0.025	0.	2.3132e+08
57	0.05	-0.025	0.025	2.3184e+08
58	0.05	-0.025	0.05	2.3236e+08
59	0.05	-0.025	0.075	2.2883e+08
60	0.05	-0.025	0.1	2.3282e+08
61	0.05	0.	0.	2.9015e+08
62	0.05	0.	0.025	2.8789e+08
63	0.05	0.	0.05	2.8779e+08
64	0.05	0.	0.075	2.8264e+08
65	0.05	0.	0.1	2.8585e+08
66	0.05	0.025	0.	3.4607e+08
67	0.05	0.025	0.025	3.4749e+08
68	0.05	0.025	0.05	3.4651e+08
69	0.05	0.025	0.075	3.4484e+08
70	0.05	0.025	0.1	3.4899e+08
71	0.05	0.05	0.	4.0442e+08
72	0.05	0.05	0.025	4.0105e+08
73	0.05	0.05	0.05	4.0726e+08
74	0.05	0.05	0.075	3.9936e+08
75	0.05	0.05	0.1	3.9845e+08
76	0.075	-0.05	0.	1.7655e+08
77	0.075	-0.05	0.025	1.7619e+08
78	0.075	-0.05	0.05	1.7661e+08
79	0.075	-0.05	0.075	1.7785e+08
80	0.075	-0.05	0.1	1.7696e+08
81	0.075	-0.025	0.	2.3249e+08
82	0.075	-0.025	0.025	2.3258e+08
83	0.075	-0.025	0.05	2.2927e+08
84	0.075	-0.025	0.075	2.3039e+08
85	0.075	-0.025	0.1	2.3196e+08
86	0.075	0.	0.	2.8654e+08
87	0.075	0.	0.025	2.8760e+08
88	0.075	0.	0.05	2.9043e+08
89	0.075	0.	0.075	2.8787e+08
90	0.075	0.	0.1	2.8572e+08
91	0.075	0.025	0.	3.4187e+08
92	0.075	0.025	0.025	3.4703e+08
93	0.075	0.025	0.05	3.4666e+08
94	0.075	0.025	0.075	3.4473e+08
95	0.075	0.025	0.1	3.4028e+08
96	0.075	0.05	0.	3.9973e+08
97	0.075	0.05	0.025	3.9992e+08
98	0.075	0.05	0.05	3.9906e+08
99	0.075	0.05	0.075	3.9764e+08
100	0.075	0.05	0.1	3.9813e+08
101	0.1	-0.05	0.	1.7931e+08
102	0.1	-0.05	0.025	1.7876e+08
103	0.1	-0.05	0.05	1.8148e+08
104	0.1	-0.05	0.075	1.8095e+08
105	0.1	-0.05	0.1	1.7969e+08
106	0.1	-0.025	0.	2.3449e+08
107	0.1	-0.025	0.025	2.3455e+08
108	0.1	-0.025	0.05	2.3729e+08
109	0.1	-0.025	0.075	2.3523e+08
110	0.1	-0.025	0.1	2.3517e+08
111	0.1	0.	0.	2.8807e+08
112	0.1	0.	0.025	2.8725e+08
113	0.1	0.	0.05	2.9039e+08
114	0.1	0.	0.075	2.8913e+08
115	0.1	0.	0.1	2.8657e+08
116	0.1	0.025	0.	3.4293e+08
117	0.1	0.025	0.025	3.4372e+08
118	0.1	0.025	0.05	3.3770e+08
119	0.1	0.025	0.075	3.4011e+08
120	0.1	0.025	0.1	3.4274e+08
121	0.1	0.05	0.	3.9143e+08
122	0.1	0.05	0.025	3.9180e+08
123	0.1	0.05	0.05	3.9536e+08
124	0.1	0.05	0.075	3.9717e+08
125	0.1	0.05	0.1	3.9728e+08
126	0.125	-0.05	0.	1.8474e+08
127	0.125	-0.05	0.025	1.8309e+08
128	0.125	-0.05	0.05	1.8259e+08
129	0.125	-0.05	0.075	1.8156e+08
130	0.125	-0.05	0.1	1.8258e+08
131	0.125	-0.025	0.	2.3650e+08
132	0.125	-0.025	0.025	2.3656e+08
133	0.125	-0.025	0.05	2.3587e+08
134	0.125	-0.025	0.075	2.3627e+08
135	0.125	-0.025	0.1	2.3730e+08
136	0.125	0.	0.	2.8813e+08
137	0.125	0.	0.025	2.9036e+08
138	0.125	0.	0.05	2.8674e+08
139	0.125	0.	0.075	2.8787e+08
140	0.125	0.	0.1	2.8717e+08
141	0.125	0.025	0.	3.4212e+08
142	0.125	0.025	0.025	3.3843e+08
143	0.125	0.025	0.05	3.3984e+08
144	0.125	0.025	0.075	3.3670e+08
145	0.125	0.025	0.1	3.4171e+08
146	0.125	0.05	0.	3.9594e+08
147	0.125	0.05	0.025	3.9515e+08
148	0.125	0.05	0.05	3.9492e+08
149	0.125	0.05	0.075	3.9498e+08
150	0.125	0.05	0.1	3.9465e+08
151	0.15	-0.05	0.	1.8669e+08
152	0.15	-0.05	0.025	1.8676e+08
153	0.15	-0.05	0.05	1.8527e+08
154	0.15	-0.05	0.075	1.8578e+08
155	0.15	-0.05	0.1	1.8608e+08
156	0.15	-0.025	0.	2.3652e+08
157	0.15	-0.025	0.025	2.3477e+08
158	0.15	-0.025	0.05	2.3524e+08
159	0.15	-0.025	0.075	2.3733e+08
160	0.15	-0.025	0.1	2.3829e+08
161	0.15	0.	0.	2.8802e+08
162	0.15	0.	0.025	2.9278e+08
163	0.15	0.	0.05	2.8641e+08
164	0.15	0.	0.075	2.8877e+08
165	0.15	0.	0.1	2.9023e+08
166	0.15	0.025	0.	3.4117e+08
167	0.15	0.025	0.025	3.4033e+08
168	0.15	0.025	0.05	3.4118e+08
169	0.15	0.025	0.075	3.3911e+08
170	0.15	0.025	0.1	3.4238e+08
171	0.15	0.05	0.	3.9300e+08
172	0.15	0.05	0.025	3.8801e+08
173	0.15	0.05	0.05	3.9075e+08
174	0.15	0.05	0.075	3.8638e+08
175	0.15	0.05	0.1	3.9356e+08
176	0.175	-0.05	0.	1.8925e+08
177	0.175	-0.05	0.025	1.9053e+08
178	0.175	-0.05	0.05	1.8888e+08
179	0.175	-0.05	0.075	1.8689e+08
180	0.175	-0.05	0.1	1.9199e+08
181	0.175	-0.025	0.	2.3869e+08
182	0.175	-0.025	0.025	2.3707e+08
183	0.175	-0.025	0.05	2.4014e+08
184	0.175	-0.025	0.075	2.4141e+08
185	0.175	-0.025	0.1	2.3821e+08
186	0.175	0.	0.	2.8783e+08
187	0.175	0.	0.025	2.8841e+08
188	0.175	0.	0.05	2.8608e+08
189	0.175	0.	0.075	2.8681e+08
190	0.175	0.	0.1	2.9108e+08
191	0.175	0.025	0.	3.3723e+08
192	0.175	0.025	0.025	3.3580e+08
193	0.175	0.025	0.05	3.3658e+08
194	0.175	0.025	0.075	3.3967e+08
195	0.175	0.025	0.1	3.3350e+08
196	0.175	0.05	0.	3.8759e+08
