Node Number	X Location (m)	Y Location (m)	Z Location (m)	Normal Stress (Pa)
1	0.	-0.05	0.	2.4116e+07
2	0.	-0.05	0.025	2.3784e+07
3	0.	-0.05	0.05	2.3875e+07
4	0.	-0.05	0.075	2.4018e+07
5	0.	-0.05	0.1	2.4096e+07
6	0.	-0.025	0.	8.4846e+07
7	0.	-0.025	0.025	8.3879e+07
8	0.	-0.025	0.05	8.3564e+07
9	0.	-0.025	0.075	8.3538e+07
10	0.	-0.025	0.1	8.3653e+07
11	0.	0.	0.	1.4592e+08
12	0.	0.	0.025	1.4465e+08
13	0.	0.	0.05	1.4496e+08
14	0.	0.	0.075	1.4379e+08
15	0.	0.	0.1	1.4400e+08
16	0.	0.025	0.	2.0486e+08
17	0.	0.025	0.025	2.0338e+08
18	0.	0.025	0.05	2.0364e+08
19	0.	0.025	0.075	2.0317e+08
20	0.	0.025	0.1	2.0345e+08
21	0.	0.05	0.	2.6408e+08
22	0.	0.05	0.025	2.6270e+08
23	0.	0.05	0.05	2.6445e+08
24	0.	0.05	0.075	2.6445e+08
25	0.	0.05	0.1	2.6372e+08
26	0.025	-0.05	0.	2.6866e+07
27	0.025	-0.05	0.025	2.7017e+07
28	0.025	-0.05	0.05	2.6918e+07
29	0.025	-0.05	0.075	2.7008e+07
30	0.025	-0.05	0.1	2.7178e+07
31	0.025	-0.025	0.	8.4857e+07
32	0.025	-0.025	0.025	8.6615e+07
33	0.025	-0.025	0.05	8.5463e+07
34	0.025	-0.025	0.075	8.5711e+07
35	0.025	-0.025	0.1	8.5114e+07
36	0.025	0.	0.	1.4499e+08
37	0.025	0.	0.025	1.4389e+08
38	0.025	0.	0.05	1.4366e+08
39	0.025	0.	0.075	1.4350e+08
40	0.025	0.	0.1	1.4377e+08
41	0.025	0.025	0.	2.0301e+08
42	0.025	0.025	0.025	2.0271e+08
43	0.025	0.025	0.05	2.0245e+08
44	0.025	0.025	0.075	2.0164e+08
45	0.025	0.025	0.1	2.0157e+08
46	0.025	0.05	0.	2.6028e+08
47	0.025	0.05	0.025	2.6172e+08
48	0.025	0.05	0.05	2.6204e+08
49	0.025	0.05	0.075	2.6225e+08
50	0.025	0.05	0.1	2.6100e+08
51	0.05	-0.05	0.	3.0069e+07
52	0.05	-0.05	0.025	2.9970e+07
53	0.05	-0.05	0.05	2.9686e+07
54	0.05	-0.05	0.075	2.9961e+07
55	0.05	-0.05	0.1	2.9932e+07
56	0.05	-0.025	0.	8.6458e+07
57	0.05	-0.025	0.025	8.6704e+07
58	0.05	-0.025	0.05	8.7071e+07
59	0.05	-0.025	0.075	8.6408e+07
60	0.05	-0.025	0.1	8.6629e+07
61	0.05	0.	0.	1.4534e+08
62	0.05	0.	0.025	1.4262e+08
63	0.05	0.	0.05	1.4384e+08
64	0.05	0.	0.075	1.4299e+08
65	0.05	0.	0.1	1.4335e+08
66	0.05	0.025	0.	2.0076e+08
67	0.05	0.025	0.025	1.9981e+08
68	0.05	0.025	0.05	2.0169e+08
69	0.05	0.025	0.075	2.0263e+08
70	0.05	0.025	0.1	2.0202e+08
71	0.05	0.05	0.	2.5959e+08
72	0.05	0.05	0.025	2.5586e+08
73	0.05	0.05	0.05	2.5762e+08
74	0.05	0.05	0.075	2.5872e+08
75	0.05	0.05	0.1	2.5935e+08
76	0.075	-0.05	0.	3.3347e+07
77	0.075	-0.05	0.025	3.3212e+07
78	0.075	-0.05	0.05	3.3178e+07
79	0.075	-0.05	0.075	3.3521e+07
80	0.075	-0.05	0.1	3.3019e+07
81	0.075	-0.025	0.	8.8347e+07
82	0.075	-0.025	0.025	8.8594e+07
83	0.075	-0.025	0.05	8.8014e+07
84	0.075	-0.025	0.075	8.8536e+07
85	0.075	-0.025	0.1	8.7583e+07
86	0.075	0.	0.	1.4354e+08
87	0.075	0.	0.025	1.4390e+08
88	0.075	0.	0.05	1.4482e+08
89	0.075	0.	0.075	1.4496e+08
90	0.075	0.	0.1	1.4317e+08
91	0.075	0.025	0.	2.0199e+08
92	0.075	0.025	0.025	1.9968e+08
93	0.075	0.025	0.05	1.9979e+08
94	0.075	0.025	0.075	1.9756e+08
95	0.075	0.025	0.1	1.9876e+08
96	0.075	0.05	0.	2.5661e+08
97	0.075	0.05	0.025	2.5526e+08
98	0.075	0.05	0.05	2.5516e+08
99	0.075	0.05	0.075	2.5535e+08
100	0.075	0.05	0.1	2.5279e+08
101	0.1	-0.05	0.	3.5979e+07
102	0.1	-0.05	0.025	3.6304e+07
103	0.1	-0.05	0.05	3.6235e+07
104	0.1	-0.05	0.075	3.5973e+07
105	0.1	-0.05	0.1	3.6338e+07
106	0.1	-0.025	0.	8.9320e+07
107	0.1	-0.025	0.025	8.9475e+07
108	0.1	-0.025	0.05	9.1006e+07
109	0.1	-0.025	0.075	9.0312e+07
110	0.1	-0.025	0.1	8.9844e+07
111	0.1	0.	0.	1.4395e+08
112	0.1	0.	0.025	1.4330e+08
113	0.1	0.	0.05	1.4424e+08
114	0.1	0.	0.075	1.4417e+08
115	0.1	0.	0.1	1.4402e+08
116	0.1	0.025	0.	1.9662e+08
117	0.1	0.025	0.025	1.9831e+08
118	0.1	0.025	0.05	1.9737e+08
119	0.1	0.025	0.075	1.9683e+08
120	0.1	0.025	0.1	1.9950e+08
121	0.1	0.05	0.	2.5528e+08
122	0.1	0.05	0.025	2.5494e+08
123	0.1	0.05	0.05	2.5298e+08
124	0.1	0.05	0.075	2.5160e+08
125	0.1	0.05	0.1	2.5189e+08
126	0.125	-0.05	0.	3.9095e+07
127	0.125	-0.05	0.025	3.8902e+07
128	0.125	-0.05	0.05	3.9309e+07
129	0.125	-0.05	0.075	3.8524e+07
130	0.125	-0.05	0.1	3.8931e+07
131	0.125	-0.025	0.	9.1940e+07
132	0.125	-0.025	0.025	9.1036e+07
133	0.125	-0.025	0.05	9.1368e+07
134	0.125	-0.025	0.075	9.1826e+07
135	0.125	-0.025	0.1	9.2334e+07
136	0.125	0.	0.	1.4288e+08
137	0.125	0.	0.025	1.4282e+08
138	0.125	0.	0.05	1.4318e+08
139	0.125	0.	0.075	1.4267e+08
140	0.125	0.	0.1	1.4273e+08
141	0.125	0.025	0.	1.9535e+08
142	0.125	0.025	0.025	1.9795e+08
143	0.125	0.025	0.05	1.9613e+08
144	0.125	0.025	0.075	1.9654e+08
145	0.125	0.025	0.1	1.9537e+08
146	0.125	0.05	0.	2.4995e+08
147	0.125	0.05	0.025	2.5180e+08
148	0.125	0.05	0.05	2.4767e+08
149	0.125	0.05	0.075	2.5158e+08
150	0.125	0.05	0.1	2.4954e+08
151	0.15	-0.05	0.	4.2004e+07
152	0.15	-0.05	0.025	4.2101e+07
